ENSEMBL,ENTREZID,SYMBOL,pi_C1_C5_C7,sig_pi_C1,sig_pi_C5,sig_pi_C7,chr,start_pos,end_pos
ENSG00000135953,84804,MFSD9,1,0,0,0,2,103332299,103353347
ENSG00000143819,2052,EPHX1,1,0,0,0,1,225997794,226033260
ENSG00000132003,65249,ZSWIM4,1,0,0,0,19,13906274,13943044
ENSG00000153721,154043,CNKSR3,1,0,0,0,6,154708638,154831793
ENSG00000103599,64799,IQCH,1,0,0,0,15,67547138,67794598
ENSG00000172270,682,BSG,1,0,0,0,19,571297,583493
ENSG00000100290,638,BIK,1,0,0,0,22,43506754,43525718
ENSG00000162572,6339,SCNN1D,1,0,0,0,1,1215816,1227409
ENSG00000171552,598,BCL2L1,1,0,0,0,20,30252255,30311792
ENSG00000166105,112937,GLB1L3,2.27745483910918,0,2.27745483910918,0,11,134144139,134189458
ENSG00000141469,6563,SLC14A1,1,0,0,0,18,43304092,43332485
ENSG00000071539,9319,TRIP13,1,0,0,0,5,892758,919472
ENSG00000178229,125919,ZNF543,1,0,0,0,19,57831877,57842144
ENSG00000240764,56097,PCDHGC5,1,0,0,0,5,140868808,140892546
ENSG00000124766,6659,SOX4,1,0,0,0,6,21593972,21598847
ENSG00000204815,83538,TTC25,1,0,0,0,17,40086888,40117648
ENSG00000275126,8368,HIST1H4L,1,0,0,0,NA,NA,NA
ENSG00000240583,358,AQP1,1,0,0,0,7,30893010,30965131
ENSG00000165061,79698,ZMAT4,1,0,0,0,8,40388109,40755352
ENSG00000136636,51133,KCTD3,1.39297834839611,0,1.39297834839611,0,1,215740735,215795149
ENSG00000136929,55363,HEMGN,1,0,0,0,9,100689073,100707138
ENSG00000174429,137735,ABRA,1,0,0,0,8,107771711,107782473
ENSG00000196159,79633,FAT4,1,0,0,0,4,126237554,126414087
ENSG00000142173,1292,COL6A2,1,0,0,0,21,47518011,47552763
ENSG00000107242,8395,PIP5K1B,1,0,0,0,9,71320575,71624092
ENSG00000272414,100631383,FAM47E-STBD1,1,0,0,0,4,77172874,77232282
ENSG00000197256,25959,KANK2,1,0,0,0,19,11274943,11308467
ENSG00000277462,93474,ZNF670,1,0,0,0,NA,NA,NA
ENSG00000138738,11107,PRDM5,1,0,0,0,4,121606074,121844025
ENSG00000004809,85413,SLC22A16,1,0,0,0,6,110745890,110797844
ENSG00000205544,254863,TMEM256,1,0,0,0,17,7306294,7307456
ENSG00000173930,353189,SLCO4C1,1,0,0,0,5,101569690,101632253
ENSG00000081026,260425,MAGI3,1.68540136859032,1.68540136859032,0,0,1,113933371,114228545
ENSG00000239264,81567,TXNDC5,1,0,0,0,6,7881483,8026646
ENSG00000178184,84552,PARD6G,1,0,0,0,18,77915115,78005429
ENSG00000085831,22996,TTC39A,1,0,0,0,1,51752930,51810788
ENSG00000221923,400713,ZNF880,1,0,0,0,19,52873170,52889048
ENSG00000167815,7001,PRDX2,1,0,0,0,19,12907634,12912694
ENSG00000144724,5793,PTPRG,1,0,0,0,3,61547243,62283288
ENSG00000198876,25853,DCAF12,1,0,0,0,9,34086385,34127397
ENSG00000274897,101927423,PANO1,1,0,0,0,NA,NA,NA
ENSG00000072274,7037,TFRC,1,0,0.492682678386595,0.504750500007061,3,195754054,195809060
ENSG00000075218,51512,GTSE1,2.43260660524626,2.43260660524626,0,0,22,46692638,46726707
ENSG00000087085,43,ACHE,1,0,0,0,7,100487615,100494594
ENSG00000125733,9322,TRIP10,1,0,0,0,19,6737936,6751537
ENSG00000272636,8447,DOC2B,1,0,0,0,17,5810,31427
ENSG00000066926,2235,FECH,1,0,0,0,18,55215515,55254004
ENSG00000197705,57565,KLHL14,2.11844001998634,0,2.11844001998634,0,18,30252634,30353025
ENSG00000133069,9911,TMCC2,1,0,0,0,1,205197304,205242471
ENSG00000158470,9334,B4GALT5,1.43739650593001,0,1.43739650593001,0,20,48249482,48330415
ENSG00000205726,6453,ITSN1,1,0,0.440629228481694,0,21,35014706,35272165
ENSG00000165181,158401,C9orf84,1,0,0,0,9,114448453,114557288
ENSG00000255823,100463486,MTRNR2L8,1,0,0,0,11,10529434,10530723
ENSG00000155659,11326,VSIG4,1,0,0,0,X,65241580,65259967
ENSG00000274267,8358,HIST1H3B,1,0,0,0,NA,NA,NA
ENSG00000163803,151056,PLB1,1,0,0,0,2,28680012,28866654
ENSG00000060140,55359,STYK1,1.83062103166227,1.83062103166227,0,0,12,10771538,10826917
