"ENSEMBL","ENTREZID","convert","chromosome","start","end"
"ENSG00000142627",1969,"chr1:15797842-15829574","1","15797842","15829574"
"ENSG00000240764",56097,"chr5:142109556-142133414","5","142109556","142133414"
"ENSG00000237541",3117,"chr6:32773614-32779421","6","32773614","32779421"
"ENSG00000261611",NA,"chr16:71413697-71455408","16","71413697","71455408"
"ENSG00000203852",333932,"chr1:149881069-149882724","1","149881069","149882724"
"ENSG00000184434",64922,"chr9:26993138-27005674","9","26993138","27005674"
"ENSG00000213648",445329,"chr16:29448568-29453655","16","29448568","29453655"
"ENSG00000115155",9381,"chr2:26234335-26335830","2","26234335","26335830"
"ENSG00000036448",9172,"chr8:2097206-2217884","8","2097206","2217884"
"ENSG00000203989",727940,"chrX:120936818-120943851","X","120936818","120943851"
"ENSG00000158220",83850,"chr3:138715744-138762844","3","138715744","138762844"
"ENSG00000240403",3812,"chr19:54339172-54355598","19","54339172","54355598"
"ENSG00000196993",100507607,"chr16:28740466-28761486","16","28740466","28761486"
"ENSG00000101447",81610,"chr20:40297672-40324466","20","40297672","40324466"
"ENSG00000183628",8214,"chr22:18918515-18926725","22","18918515","18926725"
"ENSG00000148935",2620,"chr11:22603963-22791509","11","22603963","22791509"
"ENSG00000284922",NA,"chr11:72369733-72399738","11","72369733","72399738"
"ENSG00000255374",259289,"chr12:10938688-10939714","12","10938688","10939714"
"ENSG00000180071",253650,"chr9:38571361-38620599","9","38571361","38620599"
"ENSG00000184828",201501,"chr18:50500302-50884382","18","50500302","50884382"
"ENSG00000154380",55740,"chr1:225299133-225465440","1","225299133","225465440"
"ENSG00000181143",94025,"chr19:8738484-8870666","19","8738484","8870666"
"ENSG00000102383",158866,"chrX:76148592-76303103","X","76148592","76303103"
"ENSG00000184659",349334,"chr9:65736555-65738784 ","9","65736555","65738784 "
"ENSG00000260537",NA,"chr16:70265291-70338679","16","70265291","70338679"
"ENSG00000144152",129804,"chr2:111380808-111430641","2","111380808","111430641"
"ENSG00000269313",79917,"chrX:49306085-49312004","X","49306085","49312004"
"ENSG00000129354",10053,"chr19:10461995-10476639","19","10461995","10476639"
"ENSG00000135423",27165,"chr12:56077160-56094630","12","56077160","56094630"
"ENSG00000019144",23187,"chr11:118735731-118787322","11","118735731","118787322"
"ENSG00000152475",116412,"chr19:57856250-57869662","19","57856250","57869662"
"ENSG00000129048",51554,"chr3:132878426-132900123","3","132878426","132900123"
"ENSG00000147100",6567,"chrX:75201658-75314082","X","75201658","75314082"
"ENSG00000099958",91319,"chr22:23492316-23496941","22","23492316","23496941"
"ENSG00000078081",27074,"chr3:183404427-183446051","3","183404427","183446051"
"ENSG00000128165",79924,"chr22:50043114-50048011","22","50043114","50048011"
"ENSG00000143630",57657,"chr1:155307672-155320057","1","155307672","155320057"
"ENSG00000260861",NA,"chr20:1559498-1639363","20","1559498","1639363"
"ENSG00000148082",53358,"chr9:86390856-86563903","9","86390856","86563903"
"ENSG00000237651",339804,"chr2:60917933-60937694","2","60917933","60937694"
"ENSG00000065833",4199,"chr6:82500685-82721334","6","82500685","82721334"
"ENSG00000204839",642475,"chr8:142484831-142491411","8","142484831","142491411"
"ENSG00000251201",100302736,"chr5:116242945-116290464","5","116242945","116290464"
"ENSG00000105711",6324,"chr19:34539565-34549544","19","34539565","34549544"
"ENSG00000213934",3047,"chr11:5226849-5228629","11","5226849","5228629"
"ENSG00000272636",8447,"chr17:292998-331859","17","292998","331859"
"ENSG00000163380",56203,"chr3:69057721-69073881","3","69057721","69073881"
"ENSG00000142089",10410,"chr11:319676-327537","11","319676","327537"
"ENSG00000129646",84074,"chr17:78277968-78311917","17","78277968","78311917"
"ENSG00000258465",NA,"chr1:160247010-160315340","1","160247010","160315340"
"ENSG00000111057",3875,"chr12:52555087-52559122","12","52555087","52559122"
"ENSG00000185482",246329,"chr12:56849669-56857404","12","56849669","56857404"
"ENSG00000272949",NA,NA,NA,NA,NA
"ENSG00000162526",81629,"chr1:31885920-31898711","1","31885920","31898711"
"ENSG00000264324",NA,"chr2:73984477-74136250","2","73984477","74136250"
"ENSG00000167618",3904,"chr19:53994625-54007433","19","53994625","54007433"
"ENSG00000064270",9914,"chr16:84334921-84430581","16","84334921","84430581"
"ENSG00000107130",23413,"chr9:127410125-127475024","9","127410125","127475024"
"ENSG00000122477",127495,"chr1:99682893-99712717","1","99682893","99712717"
"ENSG00000179934",1237,"chr3:39288218-39292189","3","39288218","39292189"
"ENSG00000255641",NA,"chr12:10259713-10283402","12","10259713","10283402"
"ENSG00000188394",NA,"chr9:120272249-120273418","9","120272249","120273418"
"ENSG00000164309",202333,"chr5:80394017-80504421","5","80394017","80504421"
"ENSG00000197915",388697,"chr1:152239600-152251717","1","152239600","152251717"
"ENSG00000197275",25788,"chr8:93359732-93462887","8","93359732","93462887"
"ENSG00000139329",4060,"chr12:90708852-90717717","12","90708852","90717717"
"ENSG00000143195",387597,"chr1:166926474-167006303","1","166926474","167006303"
"ENSG00000183690",80258,"chrX:44288626-44484426","X","44288626","44484426"
"ENSG00000140470",170691,"chr15:99431232-99801800","15","99431232","99801800"
"ENSG00000169507",151258,"chr2:164039676-164099015","2","164039676","164099015"
"ENSG00000215472",100526842,"chr18:51955311-51966109","18","51955311","51966109"
"ENSG00000164512",79722,"chr5:56803853-56937503","5","56803853","56937503"
"ENSG00000173421",339834,"chr3:49160995-49220673","3","49160995","49220673"
"ENSG00000186132",130355,"chr2:118544649-118609258","2","118544649","118609258"
"ENSG00000042832",7038,"chr8:131854711-132122656","8","131854711","132122656"
"ENSG00000205593",414918,"chr22:49915382-49933364","22","49915382","49933364"
"ENSG00000197653",196385,"chr12:123277641-123451173","12","123277641","123451173"
"ENSG00000150967",23457,"chr12:122436404-122497102","12","122436404","122497102"
"ENSG00000020577",23034,"chr14:54099399-54326597","14","54099399","54326597"
"ENSG00000196878",3914,"chr1:209441525-209479080","1","209441525","209479080"
"ENSG00000186081",3852,"chr12:52120791-52126746","12","52120791","52126746"
"ENSG00000228570",283008,"chr10:78081600-78091121","10","78081600","78091121"
"ENSG00000122121",7512,"chrX:130605000-130635562","X","130605000","130635562"
"ENSG00000151650",27287,"chr10:131439592-131443665","10","131439592","131443665"
"ENSG00000162882",23498,"chr2:42539949-42565453","2","42539949","42565453"
"ENSG00000274349",26149,"chr9:66856426-66932141 ","9","66856426","66932141 "
"ENSG00000133121",90627,"chr13:32529000-32776492","13","32529000","32776492"
"ENSG00000144115",55258,"chr2:87870776-87887117","2","87870776","87887117"
"ENSG00000157240",8321,"chr7:91635118-91642011","7","91635118","91642011"
"ENSG00000258555",101730217,"chr22:24270898-24442356 ","22","24270898","24442356 "
"ENSG00000171611",171558,"chr6:42948251-42958097","6","42948251","42958097"
"ENSG00000242852",163051,"chr19:12350370-12403040","19","12350370","12403040"
"ENSG00000283765",NA,"chr3:184097780-184167101","3","184097780","184167101"
"ENSG00000148225",114987,"chr9:110550942-110578018","9","110550942","110578018"
"ENSG00000213297",100529855,"chr19:12021302-12045916","19","12021302","12045916"
"ENSG00000115129",9540,"chr2:23854563-23862991","2","23854563","23862991"
"ENSG00000112053",116369,"chr6:35975739-36057091","6","35975739","36057091"
"ENSG00000118432",1268,"chr6:87430146-87456641","6","87430146","87456641"
"ENSG00000284952",NA,"chr3:156045254-156136653","3","156045254","156136653"
"ENSG00000148143",58499,"chr9:104100885-104251353","9","104100885","104251353"
"ENSG00000179344",3119,"chr6:32691690-32700606","6","32691690","32700606"
"ENSG00000283528",NA,"chr7:143942137-143950553","7","143942137","143950553"
"ENSG00000107281",56654,"chr9:137039463-137046179","9","137039463","137046179"
"ENSG00000182195",23641,"chrX:142023819-142089343","X","142023819","142089343"
"ENSG00000119865",25927,"chr2:68057039-68092919","2","68057039","68092919"
"ENSG00000168004",117245,"chr11:63693932-63723722","11","63693932","63723722"
"ENSG00000188223",NA,"chr19:35254775-35263616","19","35254775","35263616"
"ENSG00000170365",4086,"chr4:144560042-144638024","4","144560042","144638024"
"ENSG00000156097",83873,"chr1:108997250-109005784","1","108997250","109005784"
"ENSG00000091536",51168,"chr17:18205392-18276488","17","18205392","18276488"
"ENSG00000228278",5005,"chr9:111567589-111570976","9","111567589","111570976"
"ENSG00000276289",102723475,"chr21:7816675-7829926","21","7816675","7829926"
"ENSG00000004809",85413,"chr6:110103484-110155438","6","110103484","110155438"
"ENSG00000273045",150590,"chr2:98525022-98535024","2","98525022","98535024"
"ENSG00000170293",152189,"chr3:32197187-32328829","3","32197187","32328829"
"ENSG00000104432",3574,"chr8:77763508-77893288","8","77763508","77893288"
"ENSG00000151881",64417,"chr5:43444150-43483791","5","43444150","43483791"
"ENSG00000100362",5816,"chr22:36404639-36423434","22","36404639","36423434"
"ENSG00000271741",NA,"chr1:34515932-34566140","1","34515932","34566140"
"ENSG00000126709",2537,"chr1:27339573-27345707","1","27339573","27345707"
"ENSG00000180921",286077,"chr8:142642554-142656820","8","142642554","142656820"
"ENSG00000184986",80757,"chr14:105060246-105063865","14","105060246","105063865"
"ENSG00000144130",284958,"chr2:111963909-111985302","2","111963909","111985302"
"ENSG00000125864",631,"chr20:17513260-17588575","20","17513260","17588575"
"ENSG00000284057",NA,"chr11:94008498-94079212","11","94008498","94079212"
"ENSG00000167914",284110,"chr17:41797011-41821516","17","41797011","41821516"
"ENSG00000125618",7849,"chr2:112458420-112521344","2","112458420","112521344"
"ENSG00000105971",858,"chr7:116647326-116868487","7","116647326","116868487"
"ENSG00000056277",55609,"chrX:131068733-131134925","X","131068733","131134925"
"ENSG00000185386",5600,"chr22:49870065-49877119","22","49870065","49877119"
"ENSG00000075702",284403,"chr19:35563979-35614206","19","35563979","35614206"
"ENSG00000284461",NA,"chr7:67163971-67346202","7","67163971","67346202"
"ENSG00000064309",50937,"chr11:126085901-126193440","11","126085901","126193440"
"ENSG00000188629",7730,"chr19:9252344-9271941","19","9252344","9271941"
"ENSG00000033122",57554,"chr1:69102578-69686262","1","69102578","69686262"
"ENSG00000166527",338339,"chr12:8356879-8369770","12","8356879","8369770"
"ENSG00000145423",6423,"chr4:152859439-152867931","4","152859439","152867931"
"ENSG00000255152",100532732,"chr6:31772243-31797074","6","31772243","31797074"
"ENSG00000168062",116071,"chr11:65220474-65229547","11","65220474","65229547"
"ENSG00000135541",54806,"chr6:134962394-135176627","6","134962394","135176627"
"ENSG00000164850",2852,"chr7:1042572-1054179","7","1042572","1054179"
"ENSG00000147813",93100,"chr8:142493424-142497288","8","142493424","142497288"
"ENSG00000278224",29964,"chr6:41813044-41819714","6","41813044","41819714"
"ENSG00000104177",50804,"chr15:47842435-47886156","15","47842435","47886156"
"ENSG00000174429",137735,"chr8:105747255-105758016","8","105747255","105758016"
"ENSG00000188313",5359,"chr3:146797393-146827069","3","146797393","146827069"
"ENSG00000163221",6283,"chr1:153401235-153403145","1","153401235","153403145"
"ENSG00000274600",440804,"chr22:21029085-21035189","22","21029085","21035189"
"ENSG00000263201",100131303,"chr16:67979533-67982008","16","67979533","67982008"
"ENSG00000124257",140825,"chr20:47259881-47262543","20","47259881","47262543"
"ENSG00000162594",149233,"chr1:66673224-66794296","1","66673224","66794296"
"ENSG00000004799",5166,"chr7:95954187-95967204","7","95954187","95967204"
"ENSG00000226430",392197,"chr8:12132417-12134438","8","12132417","12134438"
"ENSG00000108679",3959,"chr17:80997438-81006147","17","80997438","81006147"
