ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000240403,3812,KIR3DL2,Protein Coding,5.645469749,0.000265952,0.302470941,5.645469749,Killer Cell Immunoglobulin Like Receptor_ Three Ig Domains And Long Cytoplasmic Tail 2,Entrez Gene Summary for KIR3DL2 Gene Killer cell immunoglobulin-like receptors (KIRs) are transmembrane glycoproteins expressed by natural killer cells and subsets of T cells. The KIR genes are polymorphic and highly homologous and they are found in a clu,GeneCards Summary for KIR3DL2 Gene KIR3DL2 (Killer Cell Immunoglobulin Like Receptor_ Three Ig Domains And Long Cytoplasmic Tail 2) is a Protein Coding gene.Diseases associated with KIR3DL2 include Mild Pre-Eclampsia and Sezary's Disease.Among its related,UniProtKB/Swiss-Prot for KIR3DL2 GeneKI3L2_HUMAN_P43630Receptor on natural killer (NK) cells for HLA-A alleles. Inhibits the activity of NK cells thus preventing cell lysis.,NA,NA
ENSG00000262621,NA,NA,NA,2.356188419,1.378989876,1.70855115,5.551356013,NA,NA,NA,NA,NA,NA
ENSG00000186081,3852,KRT5,Protein Coding,2.385172246,0.017525443,2.240351757,5.343624832,Keratin 5,Entrez Gene Summary for KRT5 Gene The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during different,GeneCards Summary for KRT5 Gene KRT5 (Keratin 5) is a Protein Coding gene.Diseases associated with KRT5 include Epidermolysis Bullosa Simplex With Mottled Pigmentation and Epidermolysis Bullosa Simplex_ Generalized.Among its related pathways are Cytoskele,Additional gene information for KRT5 Gene HGNC(6442)Entrez Gene(3852)Ensembl(ENSG00000186081)OMIM(148040)UniProtKB(P13647) Monarch InitiativeSearch for KRT5 at DataMedSearch for KRT5 at HumanCyc,NA,NA
ENSG00000036448,9172,MYOM2,Protein Coding,2.562326659,1.96201524,0.014871541,5.027323954,Myomesin 2,Entrez Gene Summary for MYOM2 Gene The giant protein titin_ together with its associated proteins, interconnects the major structure of sarcomeres, the M bands and Z discs. The C-terminal end of the titin string extends into the M line, where it binds tig,GeneCards Summary for MYOM2 Gene MYOM2 (Myomesin 2) is a Protein Coding gene.Diseases associated with MYOM2 include Rheumatic Fever and Plasma Cell Neoplasm.Gene Ontology (GO) annotations related to this gene include structural constituent of muscle.An im,UniProtKB/Swiss-Prot for MYOM2 GeneMYOM2_HUMAN_P54296Major component of the vertebrate myofibrillar M band. Binds myosin, titin, and light meromyosin. This binding is dose dependent.,NA,NA
ENSG00000168209,54541,DDIT4,Protein Coding,1.900841461,0.086343519,2.569204141,4.883649753,DNA Damage Inducible Transcript 4,Additional gene information for DDIT4 Gene HGNC(24944)Entrez Gene(54541)Ensembl(ENSG00000168209)OMIM(607729)UniProtKB(Q9NX09) Monarch InitiativeSearch for DDIT4 at DataMedSearch for DDIT4 at HumanCyc,GeneCards Summary for DDIT4 Gene DDIT4 (DNA Damage Inducible Transcript 4) is a Protein Coding gene.Among its related pathways are Gene Expression and MicroRNAs in cancer.Gene Ontology (GO) annotations related to this gene include 14-3-3 protein binding.A,UniProtKB/Swiss-Prot for DDIT4 GeneDDIT4_HUMAN_Q9NX09Regulates cell growth, proliferation and survival via inhibition of the activity of the mammalian target of rapamycin complex 1 (mTORC1). Inhibition of mTORC1 is mediated by a pathway that involves DDIT,NA,NA
ENSG00000182195,23641,LDOC1,Protein Coding,2.251474894,2.101710246,0.002418317,4.731947853,LDOC1_ Regulator Of NFKB Signaling,Entrez Gene Summary for LDOC1 Gene The protein encoded by this gene contains a leucine zipper-like motif and a proline-rich region that shares marked similarity with an SH3-binding domain. The protein localizes to the nucleus and is down-regulated in some,GeneCards Summary for LDOC1 Gene LDOC1 (LDOC1_ Regulator Of NFKB Signaling) is a Protein Coding gene.An important paralog of this gene is RTL8B. ,UniProtKB/Swiss-Prot for LDOC1 GeneLDOC1_HUMAN_O95751May have an important role in the development and/or progression of some cancers.,NA,NA
ENSG00000101447,81610,FAM83D,Protein Coding,4.728764317,0.175579637,0.163443449,4.728764317,Family With Sequence Similarity 83 Member D,Additional gene information for FAM83D Gene HGNC(16122)Entrez Gene(81610)Ensembl(ENSG00000101447)UniProtKB(Q9H4H8) Search for FAM83D at DataMedSearch for FAM83D at HumanCyc,GeneCards Summary for FAM83D Gene FAM83D (Family With Sequence Similarity 83 Member D) is a Protein Coding gene.Diseases associated with FAM83D include Kleine-Levin Hibernation Syndrome.An important paralog of this gene is FAM83G. ,UniProtKB/Swiss-Prot for FAM83D GeneFA83D_HUMAN_Q9H4H8Probable proto-oncogene that regulates cell proliferation, growth, migration and epithelial to mesenchymal transition. Through the degradation of FBXW7, may act indirectly on the expression and downstr,NA,NA
ENSG00000254692,NA,NA,NA,0.474497721,4.672249854,0.134061349,4.672249854,NA,NA,NA,NA,NA,NA
ENSG00000109321,374,AREG,Protein Coding,2.391508885,0.20181791,1.925861822,4.605715659,Amphiregulin,Entrez Gene Summary for AREG Gene The protein encoded by this gene is a member of the epidermal growth factor family. It is an autocrine growth factor as well as a mitogen for astrocytes_ Schwann cells and fibroblasts. It is related to epidermal growth fa,GeneCards Summary for AREG Gene AREG (Amphiregulin) is a Protein Coding gene.Diseases associated with AREG include Colorectal Cancer and Psoriasis.Among its related pathways are ERK Signaling and Akt Signaling.Gene Ontology (GO) annotations related to thi,UniProtKB/Swiss-Prot for AREG GeneAREG_HUMAN_P15514Ligand of the EGF receptor/EGFR. Autocrine growth factor as well as a mitogen for a broad range of target cells including astrocytes, Schwann cells and fibroblasts.,NA,CIViC summary for AREG Gene
ENSG00000163491,152110,NEK10,Protein Coding,4.555809563,0.008768218,0.001183688,4.555809563,NIMA Related Kinase 10,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,GeneCards Summary for NEK10 Gene NEK10 (NIMA Related Kinase 10) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include transferase activity_ transferring phosphorus-containing groups and protein tyrosine kinase activity.An im,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,NA,NA
ENSG00000257767,NA,NA,NA,1.313913374,0.239311167,3.35836173,4.41259639,NA,NA,NA,NA,NA,NA
ENSG00000271793,NA,NA,NA,0.877201162,5.028443219,9.74e-08,4.410956233,NA,NA,NA,NA,NA,NA
ENSG00000244693,100142659,CTAGE8,Protein Coding,0.005743152,0.29901258,4.372641183,4.372641183,CTAGE Family Member 8,Additional gene information for CTAGE8 Gene HGNC(37294)Entrez Gene(100142659)Ensembl(ENSG00000244693)UniProtKB(P0CG41) Search for CTAGE8 at DataMedSearch for CTAGE8 at HumanCyc,GeneCards Summary for CTAGE8 Gene CTAGE8 (CTAGE Family Member 8) is a Protein Coding gene.An important paralog of this gene is CTAGE4. ,Additional gene information for CTAGE8 Gene HGNC(37294)Entrez Gene(100142659)Ensembl(ENSG00000244693)UniProtKB(P0CG41) Search for CTAGE8 at DataMedSearch for CTAGE8 at HumanCyc,NA,NA
ENSG00000256436,259290,TAS2R31,Protein Coding,0.058971145,3.288799879,1.286858513,4.232220121,Taste 2 Receptor Member 31,Entrez Gene Summary for TAS2R31 Gene TAS2R44 belongs to the large TAS2R receptor family. TAS2Rs are expressed on the surface of taste receptor cells and mediate the perception of bitterness through a G protein-coupled second messenger pathway (Conte et al,GeneCards Summary for TAS2R31 Gene TAS2R31 (Taste 2 Receptor Member 31) is a Protein Coding gene.Among its related pathways are Peptide ligand-binding receptors and Signaling by GPCR.Gene Ontology (GO) annotations related to this gene include G-protein co,UniProtKB/Swiss-Prot for TAS2R31 GeneT2R31_HUMAN_P59538Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this recepto,NA,NA
ENSG00000255330,387104,SOGA3,Protein Coding,2.870359192,0.205808302,1.465792535,4.207351078,SOGA Family Member 3,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,GeneCards Summary for SOGA3 Gene SOGA3 (SOGA Family Member 3) is a Protein Coding gene.Diseases associated with SOGA3 include Heart Conduction Disease.An important paralog of this gene is ENSG00000255330. ,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,NA,NA
ENSG00000260286,101928603,ARMH2,Protein Coding,2.842723287,1.46196464,0.0012292,4.155960928,Armadillo-Like Helical Domain Containing 2,Additional gene information for ARMH2 Gene HGNC(49394)Entrez Gene(101928603)Ensembl(ENSG00000260286)UniProtKB(H3BNL8) Search for ARMH2 at DataMedSearch for ARMH2 at HumanCyc,GeneCards Summary for ARMH2 Gene ARMH2 (Armadillo-Like Helical Domain Containing 2) is a Protein Coding gene. ,Additional gene information for ARMH2 Gene HGNC(49394)Entrez Gene(101928603)Ensembl(ENSG00000260286)UniProtKB(H3BNL8) Search for ARMH2 at DataMedSearch for ARMH2 at HumanCyc,NA,NA
ENSG00000155542,133383,SETD9,Protein Coding,4.104231626,0.000297868,0.000122122,4.104231626,SET Domain Containing 9,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,GeneCards Summary for SETD9 Gene SETD9 (SET Domain Containing 9) is a Protein Coding gene.Among its related pathways are Gene Expression and Regulation of TP53 Activity.Gene Ontology (GO) annotations related to this gene include methyltransferase activity,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,NA,NA
ENSG00000162526,81629,TSSK3,Protein Coding,4.029289714,0.037935267,0.009599854,4.029289714,Testis Specific Serine Kinase 3,Entrez Gene Summary for TSSK3 Gene This gene encodes a kinase expressed exclusively in the testis that is thought to play a role in either germ cell differentiation or mature sperm function. [provided by RefSeq_ Jul 2008],GeneCards Summary for TSSK3 Gene TSSK3 (Testis Specific Serine Kinase 3) is a Protein Coding gene.Among its related pathways are Sweet Taste Signaling.Gene Ontology (GO) annotations related to this gene include transferase activity_ transferring phosphoru,UniProtKB/Swiss-Prot for TSSK3 GeneTSSK3_HUMAN_Q96PN8May be involved in a signaling pathway during male germ cell development or mature sperm function.,NA,NA
ENSG00000124882,2069,EREG,Protein Coding,1.914210207,0.134309668,2.099526512,4.018935078,Epiregulin,Entrez Gene Summary for EREG Gene This gene encodes a secreted peptide hormone and member of the epidermal growth factor (EGF) family of proteins. The encoded protein is a ligand of the epidermal growth factor receptor (EGFR) and the structurally related ,GeneCards Summary for EREG Gene EREG (Epiregulin) is a Protein Coding gene.Diseases associated with EREG include Colorectal Cancer and Breast Cancer.Among its related pathways are Development EGFR signaling pathway and Cytokine Signaling in Immune system.,UniProtKB/Swiss-Prot for EREG GeneEREG_HUMAN_O14944Ligand of the EGF receptor/EGFR and ERBB4. Stimulates EGFR and ERBB4 tyrosine phosphorylation (PubMed:9419975). Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulati,NA,CIViC summary for EREG Gene
ENSG00000265118,NA,NA,NA,2.818657429,0.055422936,1.421498409,4.00671705,NA,NA,NA,NA,NA,NA
ENSG00000250264,NA,NA,NA,0.091323501,1.058995218,3.732239728,3.952424024,NA,NA,NA,NA,NA,NA
ENSG00000267022,NA,NA,NA,2.6367198,0.034234951,1.497424076,3.94828771,NA,NA,NA,NA,NA,NA
ENSG00000100433,54207,KCNK10,Protein Coding,3.852537308,0.031298876,0.080513531,3.852537308,Potassium Two Pore Domain Channel Subfamily K Member 10,Entrez Gene Summary for KCNK10 Gene The protein encoded by this gene belongs to the family of potassium channel proteins containing two pore-forming P domains. This channel is an open rectifier which primarily passes outward current under physiological K+,GeneCards Summary for KCNK10 Gene KCNK10 (Potassium Two Pore Domain Channel Subfamily K Member 10) is a Protein Coding gene.Diseases associated with KCNK10 include Birk-Barel Mental Retardation Dysmorphism Syndrome and Dentin Sensitivity.Among its related,UniProtKB/Swiss-Prot for KCNK10 GeneKCNKA_HUMAN_P57789Outward rectifying potassium channel. Produces rapidly activating and non-inactivating outward rectifier K(+) currents. Activated by arachidonic acid and other naturally occurring unsaturated free fatt,Tocris Summary for KCNK10 Gene,NA
ENSG00000184659,349334,FOXD4L4,Protein Coding,3.823166245,0.019563425,0.015174465,3.823166245,Forkhead Box D4 Like 4,Additional gene information for FOXD4L4 Gene HGNC(23762)Entrez Gene(349334)Ensembl(ENSG00000184659)OMIM(611085)UniProtKB(Q8WXT5) Search for FOXD4L4 at DataMedSearch for FOXD4L4 at HumanCyc,GeneCards Summary for FOXD4L4 Gene FOXD4L4 (Forkhead Box D4 Like 4) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include DNA binding transcription factor activity and RNA polymerase II transcription factor activity_ sequenc,Additional gene information for FOXD4L4 Gene HGNC(23762)Entrez Gene(349334)Ensembl(ENSG00000184659)OMIM(611085)UniProtKB(Q8WXT5) Search for FOXD4L4 at DataMedSearch for FOXD4L4 at HumanCyc,NA,NA
ENSG00000184986,80757,TMEM121,Protein Coding,0.144510997,0.243213715,3.753060833,3.753060833,Transmembrane Protein 121,Additional gene information for TMEM121 Gene HGNC(20511)Entrez Gene(80757)Ensembl(ENSG00000184986)UniProtKB(Q9BTD3) Search for TMEM121 at DataMedSearch for TMEM121 at HumanCyc,GeneCards Summary for TMEM121 Gene TMEM121 (Transmembrane Protein 121) is a Protein Coding gene. ,UniProtKB/Swiss-Prot for TMEM121 GeneTM121_HUMAN_Q9BTD3May play a role in MAPK signaling.,NA,NA
ENSG00000130489,9997,SCO2,Protein Coding,0.175670604,0.127179223,3.720945642,3.720945642,SCO2_ Cytochrome C Oxidase Assembly Protein,Entrez Gene Summary for SCO2 Gene Cytochrome c oxidase (COX) catalyzes the transfer of electrons from cytochrome c to molecular oxygen_ which helps to maintain the proton gradient across the inner mitochondrial membrane that is necessary for aerobic ATP p,GeneCards Summary for SCO2 Gene SCO2 (SCO2_ Cytochrome C Oxidase Assembly Protein) is a Protein Coding gene.Diseases associated with SCO2 include Myopia 6 and Cardioencephalomyopathy, Fatal Infantile, Due To Cytochrome C Oxidase Deficiency 1.Among its rel,UniProtKB/Swiss-Prot for SCO2 GeneSCO2_HUMAN_O43819Copper metallochaperone essential for the synthesis and maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Involved in transporting copper to the Cu(A) site on MT-CO2/COX2 (PubMed:15229189, PubM,NA,NA
ENSG00000284922,NA,NA,NA,0.1492676,1.037328382,3.570763267,3.704054083,NA,NA,NA,NA,NA,NA
ENSG00000100362,5816,PVALB,Protein Coding,0.114812942,3.634837725,0.004838708,3.634837725,Parvalbumin,Entrez Gene Summary for PVALB Gene The protein encoded by this gene is a high affinity calcium ion-binding protein that is structurally and functionally similar to calmodulin and troponin C. The encoded protein is thought to be involved in muscle relaxati,GeneCards Summary for PVALB Gene PVALB (Parvalbumin) is a Protein Coding gene.Diseases associated with PVALB include Fish Allergy and Fetal Alcohol Syndrome.Gene Ontology (GO) annotations related to this gene include calcium ion binding and protein hetero,UniProtKB/Swiss-Prot for PVALB GenePRVA_HUMAN_P20472In muscle, parvalbumin is thought to be involved in relaxation after contraction. It binds two calcium ions.,NA,NA
ENSG00000261611,NA,NA,NA,0.061133841,3.628210195,0.119033088,3.628210195,NA,NA,NA,NA,NA,NA
ENSG00000260861,NA,NA,NA,3.587110883,0.072352277,0.001289549,3.587110883,NA,NA,NA,NA,NA,NA
ENSG00000259753,NA,NA,NA,0.65922902,2.038604145,2.663461977,3.579445227,NA,NA,NA,NA,NA,NA
ENSG00000214967,101059938,NPIPA7,Protein Coding,0.006112337,1.682635887,2.11751479,3.563006376,Nuclear Pore Complex Interacting Protein Family Member A7,Additional gene information for NPIPA7 Gene HGNC(41982)Entrez Gene(101059938)Ensembl(ENSG00000214967)UniProtKB(E9PJI5) Search for NPIPA7 at DataMedSearch for NPIPA7 at HumanCyc,GeneCards Summary for NPIPA7 Gene NPIPA7 (Nuclear Pore Complex Interacting Protein Family Member A7) is a Protein Coding gene.An important paralog of this gene is NPIPA8. ,Additional gene information for NPIPA7 Gene HGNC(41982)Entrez Gene(101059938)Ensembl(ENSG00000214967)UniProtKB(E9PJI5) Search for NPIPA7 at DataMedSearch for NPIPA7 at HumanCyc,NA,NA
ENSG00000156564,57497,LRFN2,Protein Coding,4.37927362,0.805770223,0.207498766,3.52868828,Leucine Rich Repeat And Fibronectin Type III Domain Containing 2,Additional gene information for LRFN2 Gene HGNC(21226)Entrez Gene(57497)Ensembl(ENSG00000156564)OMIM(612808)UniProtKB(Q9ULH4) Monarch InitiativeSearch for LRFN2 at DataMedSearch for LRFN2 at HumanCyc,GeneCards Summary for LRFN2 Gene LRFN2 (Leucine Rich Repeat And Fibronectin Type III Domain Containing 2) is a Protein Coding gene.Among its related pathways are Protein-protein interactions at synapses and Transmission across Chemical Synapses.An importa,UniProtKB/Swiss-Prot for LRFN2 GeneLRFN2_HUMAN_Q9ULH4Promotes neurite outgrowth in hippocampal neurons. Enhances the cell surface expression of 2 NMDA receptor subunits GRIN1 and GRIN2A. May play a role in redistributing DLG4 to the cell periphery (By sim,NA,NA
ENSG00000285942,255252,LRRC57,Protein Coding,0.126323979,0.059365965,3.523667322,3.523667322,Leucine Rich Repeat Containing 57,Additional gene information for LRRC57 Gene HGNC(26719)Entrez Gene(255252)Ensembl(ENSG00000180979)UniProtKB(Q8N9N7) Search for LRRC57 at DataMedSearch for LRRC57 at HumanCyc,GeneCards Summary for LRRC57 Gene LRRC57 (Leucine Rich Repeat Containing 57) is a Protein Coding gene.An important paralog of this gene is PIDD1. ,Additional gene information for LRRC57 Gene HGNC(26719)Entrez Gene(255252)Ensembl(ENSG00000180979)UniProtKB(Q8N9N7) Search for LRRC57 at DataMedSearch for LRRC57 at HumanCyc,NA,NA
ENSG00000180509,3753,KCNE1,Protein Coding,3.371838444,0.139825516,0.244788075,3.371838444,Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1,Entrez Gene Summary for KCNE1 Gene The product of this gene belongs to the potassium channel KCNE family. Potassium ion channels are essential to many cellular functions and show a high degree of diversity_ varying in their electrophysiologic and pharmaco,GeneCards Summary for KCNE1 Gene KCNE1 (Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1) is a Protein Coding gene.Diseases associated with KCNE1 include Jervell And Lange-Nielsen Syndrome 2 and Long Qt Syndrome 5.Among its related pathway,UniProtKB/Swiss-Prot for KCNE1 GeneKCNE1_HUMAN_P15382Ancillary protein that assembles as a beta subunit with a voltage-gated potassium channel complex of pore-forming alpha subunits. Modulates the gating kinetics and enhances stability of the channel comp,Tocris Summary for KCNE1 GeneVoltage-gated potassium channels (KV) belong to the 6-TM family of potassium channel that also comprises the Ca2+-activated Slo (actually 7-TM) and the Ca2+-activated SK subfamilies. The alpha-subunits contain a single pore-fo,NA
ENSG00000146955,401409,RAB19,Protein Coding,3.363518659,0.291444141,0.001222262,3.363518659,RAB19_ Member RAS Oncogene Family,Additional gene information for RAB19 Gene HGNC(19982)Entrez Gene(401409)Ensembl(ENSG00000146955)UniProtKB(A4D1S5) Search for RAB19 at DataMedSearch for RAB19 at HumanCyc,GeneCards Summary for RAB19 Gene RAB19 (RAB19_ Member RAS Oncogene Family) is a Protein Coding gene.Among its related pathways are Metabolism of proteins and RAB geranylgeranylation.Gene Ontology (GO) annotations related to this gene include GTP binding a,Additional gene information for RAB19 Gene HGNC(19982)Entrez Gene(401409)Ensembl(ENSG00000146955)UniProtKB(A4D1S5) Search for RAB19 at DataMedSearch for RAB19 at HumanCyc,NA,NA
ENSG00000106089,6804,STX1A,Protein Coding,3.363472726,0.008910378,0.300523559,3.363472726,Syntaxin 1A,Entrez Gene Summary for STX1A Gene This gene encodes a member of the syntaxin superfamily. Syntaxins are nervous system-specific proteins implicated in the docking of synaptic vesicles with the presynaptic plasma membrane. Syntaxins possess a single C-ter,GeneCards Summary for STX1A Gene STX1A (Syntaxin 1A) is a Protein Coding gene.Diseases associated with STX1A include Cystic Fibrosis and Osteogenesis Imperfecta_ Type Xv.Among its related pathways are Neurotransmitter Release Cycle and Uptake and actions ,UniProtKB/Swiss-Prot for STX1A GeneSTX1A_HUMAN_Q16623Plays a role in hormone and neurotransmitter exocytosis (By similarity). Potentially involved in docking of synaptic vesicles at presynaptic active zones. May mediate Ca(2+)-regulation of exocytosis acr,NA,NA
ENSG00000283528,NA,NA,NA,4.595519756,0.71074899,0.006628688,3.266261024,NA,NA,NA,NA,NA,NA
ENSG00000088827,6614,SIGLEC1,Protein Coding,1.386584805,0.014344123,2.353765981,3.263696145,Sialic Acid Binding Ig Like Lectin 1,Entrez Gene Summary for SIGLEC1 Gene This gene encodes a member of the immunoglobulin superfamily. The encoded protein is a lectin-like adhesion molecule that binds glycoconjugate ligands on cell surfaces in a sialic acid-dependent manner. It is a type I ,GeneCards Summary for SIGLEC1 Gene SIGLEC1 (Sialic Acid Binding Ig Like Lectin 1) is a Protein Coding gene.Diseases associated with SIGLEC1 include Proliferative Glomerulonephritis and Syndromic X-Linked Intellectual Disability Cabezas Type.Among its rela,UniProtKB/Swiss-Prot for SIGLEC1 GeneSN_HUMAN_Q9BZZ2Acts as an endocytic receptor mediating clathrin dependent endocytosis. Macrophage-restricted adhesion molecule that mediates sialic-acid dependent binding to lymphocytes, including granulocytes, monocyt,NA,NA
