"ENSEMBL","ENTREZID","convert","chromosome","start","end"
"ENSG00000118307",55259,"chr12:24955355-25042228","12","24955355","25042228"
"ENSG00000198796",115701,"chr18:60814014-60961858","18","60814014","60961858"
"ENSG00000255330",387104,"chr6:127117261-127197856","6","127117261","127197856"
"ENSG00000113389",4883,"chr5:32688964-32791618","5","32688964","32791618"
"ENSG00000118257",8828,"chr2:204817267-204933410","2","204817267","204933410"
"ENSG00000213214",445328,"chr7:144488990-144498562","7","144488990","144498562"
"ENSG00000116299",57535,"chr1:108571057-108664159","1","108571057","108664159"
"ENSG00000283239",104266957,"chr8:1815722-2010461","8","1815722","2010461"
"ENSG00000138180",55165,"chr10:91736855-91769335","10","91736855","91769335"
"ENSG00000088881",57593,"chr20:2712232-2779462","20","2712232","2779462"
"ENSG00000140488",60677,"chr15:71992386-72027816","15","71992386","72027816"
"ENSG00000112414",57211,"chr6:141980717-142125129","6","141980717","142125129"
"ENSG00000170917",11162,"chr4:121967542-122001813","4","121967542","122001813"
"ENSG00000154380",55740,"chr1:225299133-225465440","1","225299133","225465440"
"ENSG00000274588",139189,"chrX:50622409-50727825","X","50622409","50727825"
"ENSG00000063127",28968,"chr19:48786381-48821958","19","48786381","48821958"
"ENSG00000270757",100529241,"chr2:196635689-196686002","2","196635689","196686002"
"ENSG00000285708",27086,"chr3:70910075-71705078","3","70910075","71705078"
"ENSG00000180834",79929,"chr3:184098088-184107806","3","184098088","184107806"
"ENSG00000267059",NA,"chr19:1578340-1605446","19","1578340","1605446"
"ENSG00000242852",163051,"chr19:12350370-12403040","19","12350370","12403040"
"ENSG00000107249",169792,"chr9:3824127-4348392","9","3824127","4348392"
"ENSG00000137878",145781,"chr15:57299710-57422547","15","57299710","57422547"
"ENSG00000143195",387597,"chr1:166926474-167006303","1","166926474","167006303"
"ENSG00000260537",NA,"chr16:70265291-70338679","16","70265291","70338679"
"ENSG00000135547",23493,"chr6:125426518-125440123","6","125426518","125440123"
"ENSG00000258643",100529063,"chr14:22837626-22856160","14","22837626","22856160"
"ENSG00000196993",100507607,"chr16:28740466-28761486","16","28740466","28761486"
"ENSG00000153976",9955,"chr17:13590715-13698612","17","13590715","13698612"
"ENSG00000171241",79801,"chr16:46544679-46587467","16","46544679","46587467"
"ENSG00000258465",NA,"chr1:160247010-160315340","1","160247010","160315340"
"ENSG00000108924",3131,"chr17:57187599-57247826","17","57187599","57247826"
"ENSG00000036448",9172,"chr8:2097206-2217884","8","2097206","2217884"
"ENSG00000145244",10699,"chr4:47591982-47836089","4","47591982","47836089"
"ENSG00000283528",NA,"chr7:143942137-143950553","7","143942137","143950553"
"ENSG00000283580",79078,"chr1:42301621-42328822","1","42301621","42328822"
"ENSG00000255073",386607,"chr11:58811699-58857166","11","58811699","58857166"
"ENSG00000168903",10917,"chr5:180988846-181006727","5","180988846","181006727"
"ENSG00000205238",441273,"chr7:102910785-102921861","7","102910785","102921861"
"ENSG00000276368",8331,"chr6:27846576-27846962","6","27846576","27846962"
"ENSG00000141448",2627,"chr18:24589428-24622564","18","24589428","24622564"
"ENSG00000176720",666,"chr2:240612007-240634714","2","240612007","240634714"
"ENSG00000148019",84131,"chr9:75621146-75664774","9","75621146","75664774"
"ENSG00000114638",7348,"chr3:119454670-119486296","3","119454670","119486296"
"ENSG00000277277",102723451,"chr21:7768884-7770591","21","7768884","7770591"
"ENSG00000171680",57449,"chr1:6406032-6460001","1","6406032","6460001"
"ENSG00000275395",8857,"chr19:39372683-39443986","19","39372683","39443986"
"ENSG00000256500",NA,"chr14:103096625-103219587","14","103096625","103219587"
"ENSG00000163293",152519,"chr4:47912125-48038156","4","47912125","48038156"
"ENSG00000154274",55286,"chr4:37452303-37621873","4","37452303","37621873"
"ENSG00000151090",7068,"chr3:24075662-24454265","3","24075662","24454265"
"ENSG00000285130",9414,"chr9:69035747-69255187","9","69035747","69255187"
"ENSG00000122952",11130,"chr10:54597467-54601513","10","54597467","54601513"
"ENSG00000186047",220107,"chr13:49945228-50269803","13","49945228","50269803"
"ENSG00000273217",NA,"chr5:132090198-132461291","5","132090198","132461291"
"ENSG00000283765",NA,"chr3:184097780-184167101","3","184097780","184167101"
"ENSG00000158286",388591,"chr1:6145415-6161239","1","6145415","6161239"
"ENSG00000143921",64241,"chr2:43604803-43655849","2","43604803","43655849"
"ENSG00000106624",165,"chr7:44064746-44074963","7","44064746","44074963"
"ENSG00000050165",27122,"chr11:11934660-11988222","11","11934660","11988222"
"ENSG00000168502",23255,"chr18:8705663-8832780","18","8705663","8832780"
"ENSG00000188171",199777,"chr19:20437133-20478790","19","20437133","20478790"
"ENSG00000198963",6096,"chr9:71882419-72078261","9","71882419","72078261"
"ENSG00000242689",1270,"chr11:58855192-58858260","11","58855192","58858260"
"ENSG00000240563",54596,"chr1:61729177-61746656","1","61729177","61746656"
"ENSG00000154263",10349,"chr17:71151073-71248705","17","71151073","71248705"
"ENSG00000177380",8541,"chr19:48616287-48647769","19","48616287","48647769"
"ENSG00000148143",58499,"chr9:104100885-104251353","9","104100885","104251353"
"ENSG00000255152",100532732,"chr6:31772243-31797074","6","31772243","31797074"
"ENSG00000270316",100528007,"chr10:101094515-101142142","10","101094515","101142142"
"ENSG00000100197",1565,"chr22:41730495-41734877","22","41730495","41734877"
"ENSG00000272921",NA,"chr12:4495778-4553477","12","4495778","4553477"
"ENSG00000112139",266727,"chr6:37662903-37731530","6","37662903","37731530"
"ENSG00000267426",NA,"chr17:77902563-77934047","17","77902563","77934047"
"ENSG00000284755",55924,NA,NA,NA,NA
"ENSG00000259522",NA,"chr14:23711186-23721207","14","23711186","23721207"
"ENSG00000169435",166824,"chr4:72705833-72754914","4","72705833","72754914"
"ENSG00000282034",NA,"chr16:30692746-30733848","16","30692746","30733848"
"ENSG00000164638",222962,"chr7:5234738-5267239","7","5234738","5267239"
"ENSG00000147536",84296,"chr8:41671700-41687512","8","41671700","41687512"
"ENSG00000164283",11082,"chr5:55682039-55726843","5","55682039","55726843"
"ENSG00000196421",284739,"chr20:64034344-64039962","20","64034344","64039962"
"ENSG00000197409",8351,"chr6:26196612-26197022","6","26196612","26197022"
"ENSG00000189253",642446,"chr11:90136114-90142849","11","90136114","90142849"
"ENSG00000181652",285973,"chr7:151315123-151327413","7","151315123","151327413"
"ENSG00000205923",752014,"chr16:2480034-2481416","16","2480034","2481416"
"ENSG00000165948",122509,"chr14:93614955-93637500","14","93614955","93637500"
"ENSG00000240764",56097,"chr5:142109556-142133414","5","142109556","142133414"
"ENSG00000166803",9768,"chr15:64072105-64095488","15","64072105","64095488"
"ENSG00000133962",79820,"chr14:91114352-91314363","14","91114352","91314363"
"ENSG00000172014",728747,"chr9:64369394-64413142 ","9","64369394","64413142 "
"ENSG00000117318",3399,"chr1:23231433-23233008","1","23231433","23233008"
"ENSG00000172568",408263,"chr5:157914590-157918669","5","157914590","157918669"
"ENSG00000133477",113828,"chr22:39598949-39647529","22","39598949","39647529"
"ENSG00000187066",100130348,"chr11:65317508-65321904","11","65317508","65321904"
"ENSG00000157456",9133,"chr15:58812927-58832846","15","58812927","58832846"
"ENSG00000164106",11341,"chr4:172463550-172485229","4","172463550","172485229"
"ENSG00000106565",28959,"chr7:151094198-151104273","7","151094198","151104273"
"ENSG00000105173",898,"chr19:29321084-29333405","19","29321084","29333405"
"ENSG00000167244",3481,"chr11:2107882-2120008","11","2107882","2120008"
"ENSG00000213988",7643,"chr19:19967185-20016267","19","19967185","20016267"
"ENSG00000172296",55304,"chr20:13028324-13188456","20","13028324","13188456"
"ENSG00000274933",102724862,"chr17:37893847-37905004","17","37893847","37905004"
"ENSG00000250264",NA,"chr6:32845990-32871045","6","32845990","32871045"
"ENSG00000161905",246,"chr17:4727624-4738999","17","4727624","4738999"
"ENSG00000169607",150468,"chr2:111978772-112007087","2","111978772","112007087"
"ENSG00000171570",100529264,"chr19:40272335-40302511","19","40272335","40302511"
"ENSG00000285000",NA,"chr5:77735077-77856331","5","77735077","77856331"
"ENSG00000282608",140,"chr1:110956807-110961011","1","110956807","110961011"
"ENSG00000281991",100862671,"chr16:30729321-30733875","16","30729321","30733875"
"ENSG00000258677",NA,"chr8:72776456-72966619","8","72776456","72966619"
"ENSG00000285713",NA,"chr4:143289548-144177021","4","143289548","144177021"
"ENSG00000212123",163154,"chr19:5782949-5784735","19","5782949","5784735"
"ENSG00000015568",84220,"chr2:109176302-109241249","2","109176302","109241249"
"ENSG00000173578",2829,"chr3:45975532-45986250","3","45975532","45986250"
"ENSG00000105889",256227,"chr7:22379825-22687994","7","22379825","22687994"
"ENSG00000260170",NA,"chr15:45295153-45384116","15","45295153","45384116"
"ENSG00000158747",4681,"chr1:19270485-19331962","1","19270485","19331962"
"ENSG00000128656",1123,"chr2:173934585-174140653","2","173934585","174140653"
"ENSG00000179909",7710,"chr19:57185999-57197826","19","57185999","57197826"
"ENSG00000215529",388795,"chr20:34271117-34373803","20","34271117","34373803"
"ENSG00000273079",2904,"chr12:13285008-13829023","12","13285008","13829023"
"ENSG00000214435",57412,"chr10:101109713-101142142","10","101109713","101142142"
"ENSG00000206557",131405,"chr3:32776505-32856332","3","32776505","32856332"
"ENSG00000140682",7041,"chr16:31460264-31466639","16","31460264","31466639"
"ENSG00000188738",401024,"chr2:184874077-184968563","2","184874077","184968563"
"ENSG00000105366",27181,"chr19:50947591-50955200","19","50947591","50955200"
"ENSG00000104177",50804,"chr15:47842435-47886156","15","47842435","47886156"
"ENSG00000185897",2865,"chr19:34867556-34869585","19","34867556","34869585"
"ENSG00000154262",23460,"chr17:71082561-71145754","17","71082561","71145754"
"ENSG00000100600",5641,"chr14:92237463-92282335","14","92237463","92282335"
"ENSG00000140451",80119,"chr15:64523433-64533469","15","64523433","64533469"
"ENSG00000285446",NA,"chr6:116078232-116142533","6","116078232","116142533"
"ENSG00000169313",64805,"chr3:151619592-151667024","3","151619592","151667024"
"ENSG00000215784",728833,"chr1:145095974-145112696","1","145095974","145112696"
"ENSG00000154655",91133,"chr18:5954707-6415238","18","5954707","6415238"
"ENSG00000162174",80150,"chr11:62569976-62625940","11","62569976","62625940"
"ENSG00000127530",26664,"chr19:14678448-14724564","19","14678448","14724564"
"ENSG00000273703",8342,"chr6:27847266-27847646","6","27847266","27847646"
"ENSG00000183605",119559,"chr10:117381256-117406203","10","117381256","117406203"
"ENSG00000284057",NA,"chr11:94008498-94079212","11","94008498","94079212"
"ENSG00000275553",107983955,"chr18:49442325-49443542","18","49442325","49443542"
"ENSG00000132517",55065,"chr17:5129305-5148714","17","5129305","5148714"
"ENSG00000127903",90485,"chr19:56150611-56160414","19","56150611","56160414"
"ENSG00000175344",1139,"chr15:31631235-31880815","15","31631235","31880815"
"ENSG00000149054",7762,"chr11:6905173-6979773","11","6905173","6979773"
"ENSG00000168913",375704,"chr9:34521045-34522992","9","34521045","34522992"
"ENSG00000256646",NA,"chr7:42869674-42892575","7","42869674","42892575"
"ENSG00000197928",342926,"chr19:52732128-52751645","19","52732128","52751645"
"ENSG00000174928",285315,"chr3:156044828-156088489","3","156044828","156088489"
"ENSG00000111247",10635,"chr12:4429632-4450882","12","4429632","4450882"
"ENSG00000006625",79017,"chr7:30457005-30465225","7","30457005","30465225"
"ENSG00000106804",727,"chr9:118190057-118287997","9","118190057","118287997"
"ENSG00000187566",378884,"chr6:18120209-18122446","6","18120209","18122446"
"ENSG00000126947",51309,"chrX:102295586-102299739","X","102295586","102299739"
"ENSG00000185664",6490,"chr12:55560321-55579533","12","55560321","55579533"
"ENSG00000139714",283385,"chr12:121210939-121234828","12","121210939","121234828"
"ENSG00000160972",84988,"chr8:143395799-143419951","8","143395799","143419951"
"ENSG00000158270",81035,"chr18:316737-500722","18","316737","500722"
"ENSG00000198515",1259,"chr4:47933960-48014655","4","47933960","48014655"
"ENSG00000144130",284958,"chr2:111963909-111985302","2","111963909","111985302"
"ENSG00000065833",4199,"chr6:82500685-82721334","6","82500685","82721334"
"ENSG00000167768",3848,"chr12:52280952-52286623","12","52280952","52286623"
"ENSG00000285942",255252,"chr15:42205197-42256588","15","42205197","42256588"
"ENSG00000137962",9411,"chr1:93683432-93809512","1","93683432","93809512"
"ENSG00000213123",255758,"chr3:196564348-196591428","3","196564348","196591428"
"ENSG00000092621",26227,"chr1:119105788-119201603","1","119105788","119201603"
"ENSG00000112874",83594,"chr5:104213154-104227089","5","104213154","104227089"
"ENSG00000130748",54958,"chr19:46542652-46545367","19","46542652","46545367"
"ENSG00000261308",401720,"chr12:51424056-51454982","12","51424056","51454982"
"ENSG00000169105",113189,"chr15:40178797-40182370","15","40178797","40182370"
"ENSG00000154165",2838,"chr3:98813134-98815837","3","98813134","98815837"
"ENSG00000149489",6094,"chr11:62844250-62847648","11","62844250","62847648"
