chr,pos,cms_score,genes
chr16,10998482,15.3103,CIITA & CLEC16A & DEXI & TVP23A
chr8,142608216,15.2935,MROH5
chr12,75970451,15.2934,GLIPR1 & KRR1
chr2,170130080,15.2813,LRP2
chr3,70202293,15.271,MDFIC2
chr22,37824369,15.2624,CARD10 & ELFN2 & LOC100506271 & MFNG
chr6,53100677,15.2515,ELOVL5 & GCM1 & MIR5685 & RPS16P5
chr1,89815198,15.2512,GBP1P1 & GBP5 & GBP6 & LOC729930
chr20,259969,15.2435,C20orf96 & DEFB128 & DEFB129 & DEFB132 & NRSN2 & NRSN2-AS1 & SOX12 & ZCCHC3
chr1,34764974,15.2289,C1orf94
chr14,49625519,15.2156,NONAME
chr2,112007075,15.1878,BCL2L11 & MIR4435-1 & MIR4435-2 & MIR4435-2HG
chr1,79495100,15.1617,ADGRL4
chr13,39980168,15.1563,LHFPL6
chr8,24865502,15.1488,MIR6841 & NEFL & NEFM
chr18,48382736,15.1476,ME2 & MRO
chr10,53795073,15.1229,PRKG1
chr11,8571177,15.1099,STK33 & TRIM66
chr8,9819536,15.0989,LINC00599 & MIR124-1 & MSRA
chr12,45483229,15.0986,DBX2 & PLEKHA8P1 & RACGAP1P & RNY5
chr2,170997993,15.0943,MYO3B & UBR3
chr16,28561581,15.073,APOBR & CLN3 & IL27 & NPIPB8 & NUPR1 & SGF29 & SULT1A1 & SULT1A2
chr7,4652209,15.0658,FOXK1
chr5,160322250,15.0638,ATP10B & LINC02159
chr14,35486330,15.0587,FAM177A1 & IGBP1P1 & LOC101927178 & PPP2R3C & SRP54 & SRP54-AS1
chr13,71297213,15.0587,NONAME
chr3,140480235,15.0443,TRIM42
chr12,3243764,15.0443,TEAD4 & TSPAN9
chr10,69900977,15.0421,ATOH7 & HERC4 & MYPN
chr7,8335220,15.0321,ICA1 & LOC100505938
chr2,111992490,14.9972,BCL2L11 & MIR4435-1 & MIR4435-2 & MIR4435-2HG
chr1,6572861,14.9849,ESPN & HES2 & KLHL21 & MIR4252 & NOL9 & PLEKHG5 & TAS1R1 & TNFRSF25 & ZBTB48
chr10,33465037,14.9615,NRP1
chr12,76295681,14.9423,NONAME
chr6,36269166,14.9353,BRPF3 & C6orf222 & ETV7 & PNPLA1 & PXT1
chr3,68552320,14.911,FAM19A1 & LOC105377146
chr3,121351750,14.8859,ARGFX & FBXO40 & GOLGB1 & HCLS1 & POLQ
chr1,101690551,14.8854,LINC01307 & LOC101928370 & S1PR1
chr3,66718975,14.8421,LOC105377143
chr14,61324754,14.8421,MNAT1
chr10,134070720,14.842,DPYSL4 & JAKMIP3 & LRRC27 & STK32C
chr22,41637119,14.8408,CHADL & EP300 & EP300-AS1 & L3MBTL2 & LOC100506544 & MIR6889 & RANGAP1 & ZC3H7B
chr15,46619133,14.8373,NONAME
chr3,70657513,14.7829,NONAME
chr3,69407753,14.7714,FRMD4B
chr6,10387379,14.752,LINC00518 & MIR5689 & MIR5689HG & TFAP2A & TFAP2A-AS1 & TFAP2A-AS2
chr11,43210530,14.7262,HNRNPKP3
chr16,85788388,14.7133,C16orf74 & COX4I1 & EMC8 & GINS2 & GSE1 & LOC101928557 & MIR1910
chr11,118459269,14.6942,ARCN1 & IFT46 & KMT2A & LOC101929089 & MIR6716 & PHLDB1 & TMEM25 & TREH & TTC36
chr8,57665019,14.6164,NONAME
chr5,79086316,14.6114,CMYA5
chr10,101337190,14.5887,ENTPD7 & LINC01475 & NKX2-3 & SLC25A28
chr6,154465648,14.5801,IPCEF1 & OPRM1
chr19,56453938,14.568,NLRP13 & NLRP4 & NLRP5 & NLRP8
chr22,44809998,14.5569,LINC01656 & RTL6
chr15,33163719,14.5327,FMN1
chr13,65175493,14.5237,NONAME
chr16,25786611,14.5089,HS3ST4
chr3,10527471,14.4737,ATP2B2 & MIR885
chr15,51679783,14.4676,CYP19A1 & DMXL2 & GLDN & MIR4713HG & MIR7973-1 & MIR7973-2
chr12,108852590,14.4643,FICD & LINC01498 & SART3
chr10,24564859,14.4301,KIAA1217 & MIR603
chr2,42608534,14.4262,COX7A2L & EML4 & KCNG3
chr3,187681712,14.425,LINC01991
chr3,100812126,14.4181,ABI3BP
chr1,167217843,14.3963,LINC01363 & POU2F1
chr21,15279270,14.3919,ANKRD20A11P & CYP4F29P & LOC110091776
chr11,43177989,14.3815,NONAME
chr7,94603,14.3688,FAM20C & LOC100507642 & LOC102723672 & LOC105375115
chr1,161685591,14.3599,ATF6 & DUSP12 & FCGR2B & FCGR3B & FCRLA & FCRLB & RPL31P11
chr5,76543805,14.3568,PDE8B & ZBED3-AS1
chr2,153386258,14.3447,FMNL2
chr1,111924907,14.3399,ATP5PB & C1orf162 & CHIA & CHIAP2 & OVGP1 & PGCP1 & PIFO & WDR77
chr22,41436975,14.3396,EP300 & MIR1281 & RBX1 & SNORD140
chr4,118513954,14.3323,LINC01378
chr7,34190431,14.3304,BMPER
chr13,97593569,14.3214,LINC00359 & OXGR1
chr5,40629687,14.3148,PTGER4 & TTC33
chr21,39837386,14.2955,ERG
chr10,26992412,14.2879,ABI1 & FAM238B & PDSS1
chr15,50711901,14.2813,GABPB1 & GABPB1-AS1 & GABPB1-IT1 & MIR4712 & USP50 & USP8
chr4,100300816,14.2661,ADH1A & ADH1B & ADH1C & ADH7 & LOC100507053
chr19,32816689,14.2628,DPY19L3 & LOC400684 & ZNF507
chr5,112906466,14.2621,MCC & YTHDC2
chr3,21057399,14.2554,NONAME
chr10,53808482,14.2486,PRKG1
chr12,110279866,14.2461,FAM222A & FAM222A-AS1 & GIT2 & GLTP & MIR4497 & TCHP & TRPV4
chr19,32465584,14.2283,LINC01533
chr19,17630956,14.2184,COLGALT1 & FAM129C & LOC100507551 & MVB12A & NXNL1 & PGLS & SLC27A1 & TMEM221 & UNC13A
chr11,69594980,14.2177,FGF19 & FGF3 & FGF4
chr17,81015295,14.2074,B3GNTL1 & METRNL
chr14,70574585,14.2059,LOC646548 & SLC8A3 & SMOC1
chr9,140756398,14.1972,CACNA1B & EHMT1 & LOC100133077 & LOC105376331 & LOC651337 & MIR602
chr10,134612175,14.1645,CFAP46 & INPP5A & NKX6-2
chr1,245297324,14.146,EFCAB2 & KIF26B & KIF26B-AS1
chr5,155867152,14.1439,SGCD
chr10,45734317,14.1278,ANKRD30BP3 & MIR3156-1 & OR13A1 & RSU1P2
chr4,90166778,14.1224,GPRIN3
chr17,30610542,14.1221,C17orf75 & MIR632 & RHBDL3 & RHOT1 & ZNF207
chr10,45448818,14.115,C10orf25 & DEPP1 & RASSF4 & TMEM72 & TMEM72-AS1 & ZNF22
chr5,75913305,14.0961,F2R & F2RL2 & IQGAP2 & LOC101929109 & NCRUPAR
chr15,60154009,14.0827,NONAME
chr16,13334971,14.0719,SHISA9
chr20,6866045,14.0577,NONAME
chr9,35107765,14.0515,C9orf131 & FAM214B & FANCG & PIGO & STOML2 & UNC13B & VCP
chr21,44031933,14.0442,LINC01671 & PDE9A & SLC37A1
chr4,5165055,14.0409,STK32B
chr12,111719060,14.0409,CUX2 & MIR6760 & PHETA1
chr19,32780296,14.0043,ZNF507
chr2,41976649,13.9996,NONAME
chr2,43046262,13.9778,HAAO & MTA3 & OXER1
chr11,23533467,13.9715,MIR8054
chr5,162746066,13.9609,NONAME
chr16,58125839,13.9527,CFAP20 & CSNK2A2 & MMP15 & USB1 & ZNF319
chr5,40804623,13.9109,CARD6 & LOC100506548 & PRKAA1 & RPL37 & SNORD72 & TTC33
chr5,153911912,13.9109,HAND1 & MIR3141 & SAP30L & SAP30L-AS1
chr16,63397640,13.9021,NONAME
chr21,21724015,13.9008,LINC02573
chr21,47560946,13.8873,COL6A2 & FTCD & FTCD-AS1 & LSS & MCM3AP & MCM3AP-AS1 & SNORD159 & SPATC1L
chr18,35075477,13.8864,CELF4 & SNORA111
chr15,45096539,13.8595,B2M & LOC100419583 & SORD2P & TRIM69
chr15,50007437,13.8358,DTWD1 & FAM227B
chr19,50770814,13.8295,KCNC3 & MYH14 & NAPSA & NAPSB
chr20,53272441,13.816,DOK5
chr17,11770111,13.8153,DNAH9
chr12,29661735,13.8141,OVCH1 & OVCH1-AS1 & TMTC1
chr1,30890587,13.8132,NONAME
chr5,112789579,13.8086,MCC & TSSK1B & YTHDC2
chr6,157405372,13.7812,ARID1B
chr5,73306062,13.7769,ARHGEF28
chr9,35281298,13.7597,UNC13B
chr14,98497735,13.7587,LINC01550
chr19,40351331,13.7397,DYRK1B & FBL & FCGBP & LEUTX & MIR6719
chr18,22249592,13.727,LINC01915 & LOC105372028
chr17,6307495,13.7059,AIPL1 & PIMREG & PITPNM3
chr11,42995648,13.6925,NONAME
chr11,63329250,13.6895,ATL3 & HRASLS2 & HRASLS5 & LGALS12 & PLA2G16 & RARRES3
chr4,166362729,13.6701,CPE & MIR578 & MSMO1
chr5,14989965,13.6674,NONAME
chr8,134184165,13.6518,CCN4 & NDRG1 & SLA & TG
chr9,131489620,13.6476,ENDOG & LOC100506100 & MIR1268A & PKN3 & SET & SPOUT1 & SPTAN1 & TBC1D13 & WDR34 & ZDHHC12 & ZER1
chr11,15966681,13.6455,MIR6073 & SOX6
chr2,79634971,13.6299,LOC101927987
chr7,32399469,13.624,LOC100130673 & PDE1C
chr4,156029149,13.6097,NONAME
chr2,8099581,13.6097,LINC00298 & LINC00299 & LOC101929551
chr1,76018649,13.6093,SLC44A5
chr2,26739247,13.6058,C2orf70 & CIB4 & DRC1 & OTOF
chr12,75618935,13.5953,CAPS2 & KCNC2 & LOC100130268
chr3,73873823,13.5896,LINC02005
chr2,153405621,13.5851,FMNL2
chr3,70429489,13.5844,MDFIC2
chr3,192605629,13.5829,MB21D2
chr10,98905223,13.5828,ARHGAP19 & ARHGAP19-SLIT1 & SLIT1 & SLIT1-AS1
chr17,37273402,13.5656,ARL5C & CACNB1 & LINC02079 & LRRC37A11P & PLXDC1 & RDM1P5 & RPL19 & STAC2
chr8,142447756,13.5619,GPR20 & LINC01300 & MROH5 & PTP4A3
chr19,34137688,13.5608,CHST8
chr6,156751995,13.558,SNORD28B
chr2,221689038,13.558,NONAME
chr10,21057847,13.5473,NEBL
chr12,11906034,13.5256,ETV6
chr13,24686077,13.5206,MIR2276 & SPATA13
chr19,19868623,13.5173,ATP13A1 & LINC00663 & ZNF101 & ZNF14 & ZNF506 & ZNF56
chr7,133749550,13.5172,EXOC4 & LRGUK
chr8,26306214,13.5152,BNIP3L & DPYSL2 & PNMA2 & PPP2R2A & SDAD1P1
chr1,84717820,13.512,PRKACB & SAMD13
chr3,87659612,13.5114,NONAME
chr15,66161723,13.511,DENND4A & MEGF11 & RAB11A
chr20,39537831,13.4731,LOC100128988
chr14,35378740,13.4731,BAZ1A & IGBP1P1 & SRP54 & SRP54-AS1
chr3,18606404,13.4564,SATB1-AS1
chr8,9166532,13.4524,LOC157273
chr7,46702781,13.4483,LOC730338
chr12,31006102,13.4394,CAPRIN2 & LINC00941 & LOC645485 & TSPAN11
chr7,38750986,13.4354,AMPH & FAM183BP & VPS41
chr1,14220186,13.4288,PRDM2
chr11,69662479,13.4248,FGF3 & FGF4
chr12,75572814,13.4148,CAPS2 & KCNC2 & LOC100130268
chr22,50730320,13.3781,DENND6B & HDAC10 & MAPK11 & MAPK12 & PLXNB2 & PPP6R2 & SELENOO & TRABD & TUBGCP6
chr16,79979968,13.375,NONAME
chr13,64926875,13.3669,NONAME
chr3,23117385,13.3548,NONAME
chr17,931002,13.3493,ABR & MIR3183 & NXN & TIMM22
chr12,49530022,13.339,DHH & KMT2D & LMBR1L & RHEBL1 & TUBA1A & TUBA1B & TUBA1C
chr3,168202444,13.3253,EGFEM1P & MIR551B
chr2,56261725,13.3195,LINC01813 & MIR216A & MIR216B & MIR217 & MIR217HG
chr2,134577255,13.3178,NONAME
chr22,49663040,13.3173,NONAME
chr6,19814369,13.3144,ID4 & LOC100506885
chr14,36462503,13.3144,LINC00609
chr1,75278010,13.3048,CRYZ & TYW3
chr11,109317548,13.2843,C11orf87
chr12,7311976,13.2821,C1R & C1RL & C1RL-AS1 & CLSTN3 & PEX5 & RBP5
chr5,154038360,13.2675,LARP1 & MIR1303 & MIR3141
chr1,28461661,13.2602,DNAJC8 & EYA3 & PTAFR
chr9,27174955,13.2562,LINC00032 & TEK
chr2,169991103,13.2561,DHRS9 & LRP2
chr2,42599982,13.2548,COX7A2L & EML4 & KCNG3
chr10,16396872,13.2379,PTER
chr8,36012253,13.2075,NONAME
chr17,14356742,13.2068,NONAME
chr16,20062508,13.206,GPR139
chr4,72670093,13.1848,GC
chr9,4959331,13.1818,JAK2 & RCL1
chr6,120247231,13.1686,LOC105377975 & MIR3144
chr11,126288762,13.1634,DCPS & GSEC & KIRREL3 & ST3GAL4
chr20,8588762,13.1605,PLCB1
chr10,70946082,13.1562,HK1 & HKDC1 & LOC101928994 & SRGN & SUPV3L1 & VPS26A
chr16,72914405,13.1497,ZFHX3
chr8,118308082,13.136,NONAME
chr4,37559939,13.1099,C4orf19 & RELL1
chr6,110736610,13.0998,DDO & METTL24 & SLC22A16
chr17,72319471,13.0998,BTBD17 & DNAI2 & GPR142 & KIF19 & TTYH2
chr4,68749047,13.085,TMPRSS11A & TMPRSS11D
chr1,195921650,13.0763,LINC01724
chr2,34313801,13.0606,LINC01317 & LINC01318
chr2,111750992,13.0533,ACOXL
chr12,115591985,13.0524,NONAME
chr12,48224721,13.0393,HDAC7 & RAPGEF3 & SLC48A1 & VDR
chr1,60564479,13.0368,C1orf87
chr9,93627484,13.0349,SYK
chr3,72001105,13.0264,LINC00877
chr20,52627481,13.0236,BCAS1 & MIR4756
chr9,26538805,13.0111,NONAME
chr1,150498002,13.0102,ADAMTSL4 & ADAMTSL4-AS1 & ECM1 & ENSA & FALEC & MCL1 & MIR4257 & MIR6878 & RPRD2 & TARS2
chr7,50249013,13.0053,IKZF1 & SPATA48
chr4,84259301,13.0053,COQ2 & HELQ & HPSE
chr14,58450748,13.0027,ARMH4
chr16,62326911,12.99,NONAME
chr17,14409223,12.9894,NONAME
chr8,17056529,12.9874,CNOT7 & MICU3 & MTMR7 & VPS37A & ZDHHC2
chr16,23865164,12.9868,CHP2 & PRKCB
chr2,151891393,12.9819,NONAME
chr4,82645980,12.9517,NONAME
chr12,98592566,12.9419,NONAME
chr14,24649669,12.9413,CHMP4A & DCAF11 & EMC9 & FITM1 & GMPR2 & IPO4 & IRF9 & MDP1 & MIR7703 & NEDD8 & NEDD8-MDP1 & NRL & PCK2 & PSME1 & PSME2 & RABGGTA & REC8 & RNF31 & TGM1 & TINF2 & TM9SF1 & TSSK4
chr8,73997216,12.9284,SBSPON & TERF1
chr4,172837311,12.9235,GALNTL6
chr8,134224878,12.9062,CCN4 & NDRG1 & TG
chr13,69449801,12.89,LINC00550
chr5,90769619,12.8866,ARRDC3 & ARRDC3-AS1
chr5,172764327,12.8778,MIR8056 & STC2
chr4,189100229,12.8619,TRIML1 & TRIML2
chr20,42759354,12.8543,JPH2 & OSER1 & OSER1-DT & TOX2
chr19,33402100,12.8527,CEP89 & FAAP24 & RHPN2 & SLC7A9 & TDRD12
chr5,156670916,12.8413,CYFIP2 & FAM71B & FNDC9 & ITK
chr8,101482545,12.8305,ANKRD46 & MIR4471
chr14,60848224,12.8247,C14orf39 & LINC02322 & PPM1A
chr5,11020918,12.8228,CTNND2
chr3,101652887,12.8228,LINC02085 & NFKBIZ
chr15,70123826,12.8226,LINC00593
chr3,21997844,12.805,ZNF385D-AS2
chr6,158497717,12.8033,GTF2H5 & SERAC1 & SYNJ2 & SYNJ2-IT1
chr20,52289052,12.8033,LOC101927770 & LOC105372672 & ZNF217
chr9,131290327,12.7993,CERCAM & GLE1 & MIR1268A & ODF2 & SPTAN1
chr2,103307774,12.7786,MFSD9 & SLC9A2 & TMEM182
chr8,25583081,12.7745,NONAME
chr7,17691608,12.7739,LOC101927630
chr3,59689809,12.7517,FHIT & LOC339902
chr3,123134244,12.751,ADCY5 & HACD2
chr3,122150284,12.7408,CCDC58 & CSTA & FAM162A & KPNA1 & LOC102723582 & PARP9 & WDR5B
chr3,10675684,12.7302,ATP2B2 & ATP2B2-IT2
chr11,68804451,12.7295,IGHMBP2 & MIR3164 & MRGPRD & MRGPRF & MRGPRF-AS1 & TPCN2
chr10,23371855,12.7281,ARMC3 & MSRB2
chr11,118852137,12.7274,BCL9L & CCDC84 & CXCR5 & FOXR1 & HYOU1 & MIR4492 & RPL23AP64 & RPS25 & SLC37A4 & TRAPPC4 & UPK2 & VPS11
chr3,182906649,12.7127,B3GNT5 & LAMP3 & MCCC1 & MCF2L2
chr12,115179321,12.7116,TBX3
chr1,184162732,12.7094,TSEN15
chr9,34953336,12.7034,C9orf131 & DNAJB5 & DNAJB5-DT & FAM205C & PHF24
chr12,47607017,12.6936,LOC105369747 & MIR4698 & PCED1B & PCED1B-AS1
chr3,139510682,12.6853,NONAME
chr4,155541289,12.6617,FGA & FGB & FGG & PLRG1
chr22,49567545,12.6541,NONAME
chr3,24765690,12.6529,NONAME
chr1,112012037,12.6454,ADORA3 & ATP5PB & C1orf162 & OVGP1 & PGCP1 & TMIGD3 & WDR77
chr20,16026239,12.6452,LOC613266 & MACROD2
chr6,108428759,12.6279,NR2E1 & OSTM1 & OSTM1-AS1
chr8,2474928,12.6215,LOC101927815
chr9,27214887,12.6173,EQTN & LINC00032 & TEK
chr20,31911340,12.6127,BPIFA1 & BPIFA3 & BPIFB1 & CDK5RAP1 & SNTA1
chr12,114035983,12.5952,NONAME
chr16,84871849,12.5951,CRISPLD2 & USP10
chr3,68910464,12.5942,FAM19A4
chr3,26335191,12.5907,NONAME
chr6,9481801,12.5884,NONAME
chr5,2487170,12.5879,NONAME
chr15,27982890,12.567,OCA2
chr10,27596229,12.5563,ACBD5 & ARMC4P1 & LRRC37A6P & PTCHD3
chr3,22000547,12.5532,ZNF385D-AS2
chr12,29342235,12.5532,FAR2 & LOC100506606
chr12,122638006,12.5527,B3GNT4 & DIABLO & IL31 & LOC101593348 & LRRC43 & MLXIP & VPS33A
chr10,96658200,12.5493,CYP2C19 & CYP2C9
chr15,61349220,12.547,RORA
chr18,20716805,12.5462,CABLES1
chr3,87561451,12.5353,NONAME
chr1,75641544,12.5346,LHX8 & SLC44A5
chr5,3089692,12.5336,LINC01377
chr8,74000257,12.5279,SBSPON & TERF1
chr3,121435624,12.5162,FBXO40 & GOLGB1 & HCLS1 & IQCB1
chr17,36621445,12.5108,ARHGAP23 & SOCS7 & SRCIN1
chr11,130257002,12.5103,ADAMTS15 & ADAMTS8 & LOC646383 & ZBTB44
chr6,17755963,12.5087,KIF13A & LOC105374952 & NUP153
chr10,79186259,12.5072,KCNMA1 & KCNMA1-AS3
chr5,160712849,12.4813,GABRB2
chr12,99261495,12.4722,ANKS1B
chr10,20753989,12.4705,MIR4675
chr1,80710753,12.469,NONAME
chr2,180665865,12.4598,MIR1258 & ZNF385B
chr1,16502256,12.4459,ARHGEF19 & CPLANE2 & EPHA2 & FBXO42
chr4,32616774,12.4394,NONAME
chr1,6144735,12.4394,CHD5 & KCNAB2 & NPHP4
chr10,32451860,12.439,NONAME
chr20,8629843,12.4298,PLCB1
chr3,59894061,12.4151,FHIT
chr5,141824669,12.4041,SPRY4-AS1
chr10,73281364,12.3865,CDH23 & CDH23-AS1
chr6,110826927,12.3861,DDO & SLC22A16
chr13,97040313,12.3861,HS6ST3 & MIR4501
chr11,109573244,12.3861,NONAME
chr11,96654866,12.3854,NONAME
