"ensembl_gene_id","chromosome_name","start_position","end_position"
"ENSG00000099377","16",30985207,30989147
"ENSG00000099622","19",1259384,1274880
"ENSG00000099889","22",19969896,20016823
"ENSG00000099956","22",23786931,23838008
"ENSG00000099958","22",23834503,23839128
"ENSG00000100239","22",50343304,50445090
"ENSG00000100280","22",29327680,29423179
"ENSG00000100307","22",39120167,39152680
"ENSG00000100321","22",39349925,39385575
"ENSG00000100365","22",36860988,36878017
"ENSG00000100433","14",88180103,88326907
"ENSG00000100504","14",50857891,50944483
"ENSG00000100564","14",67581955,67600286
"ENSG00000100599","14",92513781,92688994
"ENSG00000100722","14",88562970,88627596
"ENSG00000100802","14",22985894,23010166
"ENSG00000101150","20",63865228,63891545
"ENSG00000101194","20",62952707,62969585
"ENSG00000101447","20",38926312,38953106
"ENSG00000101474","20",24962925,24992751
"ENSG00000101544","18",80109262,80147523
"ENSG00000101846","X",7147237,7804358
"ENSG00000101935","X",110194186,110440233
"ENSG00000101974","X",139726346,139945276
"ENSG00000102001","X",49205063,49233371
"ENSG00000102174","X",22032325,22251310
"ENSG00000102245","X",136648158,136660390
"ENSG00000102543","13",49247925,49293485
"ENSG00000102780","13",42040036,42256578
"ENSG00000102796","13",51767993,51804162
"ENSG00000102858","16",4616493,4690974
"ENSG00000103160","16",84122141,84145192
"ENSG00000103187","16",84565596,84618078
"ENSG00000103404","16",23061406,23149270
"ENSG00000103485","16",29663279,29698699
"ENSG00000103490","16",31201486,31203450
"ENSG00000103494","16",53598153,53703938
"ENSG00000104047","15",49621037,49656232
"ENSG00000104112","15",51681492,51721026
"ENSG00000104177","15",48134632,48178353
"ENSG00000104327","8",90058608,90095475
"ENSG00000104432","8",78675743,78805523
"ENSG00000104497","8",81799581,81842866
"ENSG00000105176","19",29923644,30016612
"ENSG00000105245","19",40665905,40690972
"ENSG00000105426","19",5158495,5340803
"ENSG00000105711","19",35030470,35040449
"ENSG00000105784","7",87627548,87832296
"ENSG00000105793","7",90335223,90391455
"ENSG00000106089","7",73699206,73719672
"ENSG00000106245","7",99408641,99419616
"ENSG00000106290","7",100107070,100119841
"ENSG00000107362","9",71862452,71910931
"ENSG00000107560","10",118004916,118046941
"ENSG00000107779","10",86756601,86932838
"ENSG00000108556","17",4897771,4934438
"ENSG00000108559","17",5360963,5419676
"ENSG00000108639","17",78168558,78173527
"ENSG00000108848","17",50719565,50756219
"ENSG00000109016","17",21123364,21193265
"ENSG00000109452","4",142023160,142847432
"ENSG00000109606","4",24517441,24584554
"ENSG00000109689","4",26857601,27025381
"ENSG00000109762","4",185204237,185370185
"ENSG00000109771","4",185363879,185395899
"ENSG00000109906","11",114059711,114256765
"ENSG00000109911","11",31509755,31790324
"ENSG00000110080","11",126355640,126440344
"ENSG00000110200","11",72106378,72112780
"ENSG00000110400","11",119623408,119729200
"ENSG00000110429","11",33740939,33774543
"ENSG00000110876","12",108622277,108633959
"ENSG00000110934","12",51281038,51324668
"ENSG00000111057","12",52948871,52952906
"ENSG00000111261","12",12326056,12350242
"ENSG00000111530","12",67269358,67319953
"ENSG00000111596","12",70242994,70355257
"ENSG00000111605","12",69239569,69274358
"ENSG00000111652","12",6724014,6731875
"ENSG00000111684","12",6976185,7018477
"ENSG00000111711","12",21501781,21518408
"ENSG00000111727","12",104064531,104106524
"ENSG00000111728","12",22063773,22437041
"ENSG00000111775","12",120438090,120440737
"ENSG00000111785","12",106774621,106889316
"ENSG00000111860","6",118460772,118710075
"ENSG00000111962","6",148747030,149076990
"ENSG00000112031","6",152987362,153002709
"ENSG00000112053","6",35943516,36024868
"ENSG00000112200","6",57086844,57170305
"ENSG00000112679","6",291630,351355
"ENSG00000112739","6",4021267,4064983
"ENSG00000112782","6",45880827,46080348
"ENSG00000112893","5",109689366,109869625
"ENSG00000112983","5",138139766,138178986
"ENSG00000112996","5",44808947,44820428
"ENSG00000113319","5",80960363,81230162
"ENSG00000113368","5",126776623,126837020
"ENSG00000113648","5",135333900,135399914
"ENSG00000113649","5",146447311,146511961
"ENSG00000113719","5",172834251,172952683
"ENSG00000113749","5",175658030,175710756
"ENSG00000113851","3",3144628,3179727
"ENSG00000114062","15",25333728,25439051
"ENSG00000114120","3",140941830,140980995
"ENSG00000114354","3",100709331,100748964
"ENSG00000114416","3",180868141,180982753
"ENSG00000114439","3",107522936,107811339
"ENSG00000114529","3",112086335,112131004
"ENSG00000115129","2",24077433,24085861
"ENSG00000115138","2",25160853,25168903
"ENSG00000115295","2",29097705,29189643
"ENSG00000115365","2",210431249,210477652
"ENSG00000115368","2",189441446,189475552
"ENSG00000115419","2",190880821,190965552
"ENSG00000115641","2",105357712,105438513
"ENSG00000115942","2",200908977,200963680
"ENSG00000115947","2",147930397,148021604
"ENSG00000115970","2",43230836,43596046
"ENSG00000116001","2",70209444,70248660
"ENSG00000116560","1",35176378,35193145
"ENSG00000116574","1",228735479,228746664
"ENSG00000116747","1",193059422,193091777
"ENSG00000116922","1",37681570,37692249
"ENSG00000116962","1",235975830,236065109
"ENSG00000116983","1",39678648,39691485
"ENSG00000116991","1",232397965,232561558
"ENSG00000117090","1",160608106,160647295
"ENSG00000117226","1",89006679,89022894
"ENSG00000117262","1",145607988,145670650
"ENSG00000117475","1",169367970,169396540
"ENSG00000117533","1",171700160,171742074
"ENSG00000117569","1",96721665,96823738
"ENSG00000117597","1",209827972,209857565
"ENSG00000118246","2",206765357,206796189
"ENSG00000118298","1",150257251,150265078
"ENSG00000118412","6",89829894,89874436
"ENSG00000118620","19",21020634,21060050
"ENSG00000118873","1",220148293,220272453
"ENSG00000119457","9",112878920,112890876
"ENSG00000119487","9",125437393,125707234
"ENSG00000119514","9",98807670,98850081
"ENSG00000119685","14",75633625,75955079
"ENSG00000119812","2",33583660,33599382
"ENSG00000119899","6",73593379,73653992
"ENSG00000119927","10",112149865,112215377
"ENSG00000119965","10",122930901,122954311
"ENSG00000119979","10",119104086,119137984
"ENSG00000120129","5",172768096,172771195
"ENSG00000120279","6",152697895,152724567
"ENSG00000120333","1",175010789,175023425
"ENSG00000120458","11",124766498,124800673
"ENSG00000120694","13",31134973,31162388
"ENSG00000120725","5",138946724,139293557
"ENSG00000120738","5",138465479,138469303
"ENSG00000120802","12",98515512,98550379
"ENSG00000120903","8",27459756,27479883
"ENSG00000121039","8",73294602,73325281
"ENSG00000121316","12",14503661,14567883
"ENSG00000121350","12",21437615,21471250
"ENSG00000121542","3",123201927,123274136
"ENSG00000121716","7",100352176,100367733
"ENSG00000121892","4",39822863,39977956
"ENSG00000121903","1",33472645,33496507
"ENSG00000121931","1",110947190,110963965
"ENSG00000121966","2",136114349,136118149
"ENSG00000122008","5",75511756,75601144
"ENSG00000122417","1",86346824,86396342
"ENSG00000122435","1",100133150,100150498
"ENSG00000122482","1",90915298,91022272
"ENSG00000122507","7",33109557,33877180
"ENSG00000122642","7",32957404,33006930
"ENSG00000122779","7",138460259,138589996
"ENSG00000122783","7",135092363,135170795
"ENSG00000122912","10",68477998,68527523
"ENSG00000123095","12",26120030,26125037
"ENSG00000123352","12",49366584,49527424
"ENSG00000123575","X",104166453,104195902
"ENSG00000123643","5",151437046,151492379
"ENSG00000123836","1",207034366,207081024
"ENSG00000123989","2",219538948,219543809
"ENSG00000124145","20",45325288,45348424
"ENSG00000124171","20",50731580,50756795
"ENSG00000124207","20",49046246,49096960
"ENSG00000124215","20",59958423,60034011
"ENSG00000124507","6",34466061,34535229
"ENSG00000124882","4",74365145,74388749
"ENSG00000125434","17",8287763,8295400
"ENSG00000125447","17",75236599,75262363
"ENSG00000125498","19",54769793,54784322
"ENSG00000125676","X",123600561,123733056
"ENSG00000125944","1",23303771,23344336
"ENSG00000126773","14",60091911,60169133
"ENSG00000126947","X",101550547,101554700
"ENSG00000127081","9",92844182,92878038
"ENSG00000127084","9",92947523,93036236
"ENSG00000127311","12",66302545,66347645
"ENSG00000127329","12",70515866,70637440
"ENSG00000127334","12",67648338,67665406
"ENSG00000127507","19",14732392,14778560
"ENSG00000127527","19",16355239,16472085
"ENSG00000127948","7",75899200,75986855
"ENSG00000127980","7",92487020,92528520
"ENSG00000127989","7",91692008,91880702
"ENSG00000127990","7",94524204,94656572
"ENSG00000128000","19",40028260,40056231
"ENSG00000128016","19",39406847,39409412
"ENSG00000128606","7",102913000,102945111
"ENSG00000128641","2",191245185,191425389
"ENSG00000128656","2",174799313,175005381
"ENSG00000128872","15",51751597,51816363
"ENSG00000129003","15",61852389,62060473
"ENSG00000129116","4",168497052,168928457
"ENSG00000129204","17",5116032,5175034
"ENSG00000129465","14",24336025,24340022
"ENSG00000129810","3",20160593,20186206
"ENSG00000129933","19",19320829,19358754
"ENSG00000130021","X",6667865,7148190
"ENSG00000130024","6",169703902,169725566
"ENSG00000130164","19",11089462,11133820
"ENSG00000130311","19",17309518,17323298
"ENSG00000130755","19",39328353,39342372
"ENSG00000130775","1",27872543,27886685
"ENSG00000131042","19",54273821,54281184
"ENSG00000131069","20",34872146,34927962
"ENSG00000131375","3",15206152,15252916
"ENSG00000131748","17",39637090,39664201
"ENSG00000132294","8",131904093,132013642
"ENSG00000132356","5",40759379,40798374
"ENSG00000132424","6",99398050,99425331
"ENSG00000132485","1",71063291,71081289
"ENSG00000132881","1",16231692,16237183
"ENSG00000132965","13",30713478,30764426
"ENSG00000133247","19",55339853,55348121
"ENSG00000133302","5",94618669,94739436
"ENSG00000133460","22",23856703,23886309
"ENSG00000133641","12",88033846,88050160
"ENSG00000133706","5",146113034,146182650
"ENSG00000133962","14",91580696,91780707
"ENSG00000134057","5",69167135,69178245
"ENSG00000134153","15",34084017,34101862
"ENSG00000134255","1",111139627,111185104
"ENSG00000134318","2",11179759,11348330
"ENSG00000134755","18",31058840,31102522
"ENSG00000134824","11",61792980,61867354
"ENSG00000134900","13",102596986,102679958
"ENSG00000134987","5",111091716,111130502
"ENSG00000135048","9",71683366,71816690
"ENSG00000135074","5",157395534,157575775
"ENSG00000135164","7",87152361,87196337
"ENSG00000135341","6",90513573,90587072
"ENSG00000135365","11",45929323,46121178
"ENSG00000135387","11",34051731,34102610
"ENSG00000135503","12",51951699,51997078
"ENSG00000135541","6",135283532,135497765
"ENSG00000135547","6",125747664,125761269
"ENSG00000135722","16",67159932,67164570
"ENSG00000135778","1",232950605,232983882
"ENSG00000135829","1",182839347,182887982
"ENSG00000135905","2",224765090,225042445
"ENSG00000135913","2",218450251,218568351
"ENSG00000135968","2",108449191,108509415
"ENSG00000135976","2",97113218,97264434
"ENSG00000136108","13",52455429,52476628
"ENSG00000136114","13",52377167,52416373
"ENSG00000136152","13",45464898,45536701
"ENSG00000136197","7",42908726,42912305
"ENSG00000136280","7",44999475,45076469
"ENSG00000136383","15",84816680,84873482
"ENSG00000136643","1",213051233,213274774
"ENSG00000136709","2",127701027,127811187
"ENSG00000136717","2",127048027,127107288
"ENSG00000136870","9",101398873,101410660
"ENSG00000136891","9",100302077,100352942
"ENSG00000136936","9",97674909,97697357
"ENSG00000136937","9",97633668,97673748
"ENSG00000137221","6",43477523,43506556
"ENSG00000137266","6",3268962,3457022
"ENSG00000137312","6",30727709,30742732
"ENSG00000137522","11",71929018,71997597
"ENSG00000137601","4",169392857,169612629
"ENSG00000137842","15",43123279,43185144
"ENSG00000137941","1",83865024,83999150
"ENSG00000138078","2",44316281,44361862
"ENSG00000138138","10",87751512,87841343
"ENSG00000138185","10",95711779,95877266
"ENSG00000138286","10",73168119,73244504
"ENSG00000138346","10",68414064,68472121
"ENSG00000138443","2",203328239,203447728
"ENSG00000138468","3",101324205,101513241
"ENSG00000138686","4",121824329,121870487
"ENSG00000138772","4",78551747,78610451
"ENSG00000138829","5",128257909,128659185
"ENSG00000138964","22",44172956,44219533
"ENSG00000139112","12",10212458,10223128
"ENSG00000139131","12",32727490,32755897
"ENSG00000139163","12",22625075,22690665
"ENSG00000139178","12",7089587,7109238
"ENSG00000139597","13",32400723,32428311
"ENSG00000139624","12",50129289,50167533
"ENSG00000139631","12",53157663,53180909
"ENSG00000139636","12",49096551,49110900
"ENSG00000139687","13",48303726,48599436
"ENSG00000139718","12",121804180,121832584
"ENSG00000139746","13",79311824,79406477
"ENSG00000139793","13",97221434,97394120
"ENSG00000139977","14",57390544,57415906
"ENSG00000140262","15",56918623,57299281
"ENSG00000140323","15",40358219,40378621
"ENSG00000140350","15",68778535,68820897
"ENSG00000140368","15",76993359,77037475
"ENSG00000140379","15",79960892,79971196
"ENSG00000140386","15",76347904,76905444
"ENSG00000140398","15",75346955,75357115
"ENSG00000140443","15",98648539,98964530
"ENSG00000140471","15",100559369,100603230
"ENSG00000140488","15",72284727,72320157
"ENSG00000140632","16",4803203,4847288
"ENSG00000140854","16",57735739,57757244
"ENSG00000140859","16",57758217,57863053
"ENSG00000141002","16",89873570,89913627
"ENSG00000141040","17",16546954,16569204
"ENSG00000141480","17",4710596,4721499
"ENSG00000141551","17",82239023,82273731
"ENSG00000141562","17",82458180,82490537
"ENSG00000141579","17",82829434,82840022
"ENSG00000141580","17",82614562,82648553
"ENSG00000141965","19",4791734,4801273
"ENSG00000141971","19",17405722,17433724
"ENSG00000142185","21",44350163,44443081
"ENSG00000142494","17",19495385,19579034
"ENSG00000142583","1",9035106,9088478
"ENSG00000142627","1",16124337,16156069
"ENSG00000142657","1",10398592,10420511
"ENSG00000143033","1",93079235,93139079
"ENSG00000143156","1",169132531,169367948
"ENSG00000143498","1",222557902,222589933
"ENSG00000143546","1",153390032,153391073
"ENSG00000143756","1",224114111,224162047
"ENSG00000143771","1",224356858,224379459
"ENSG00000143869","2",20667144,20679243
"ENSG00000143889","2",38561969,38603586
"ENSG00000143919","2",44361947,44772592
"ENSG00000143924","2",42169353,42332548
"ENSG00000144130","2",112721486,112742879
"ENSG00000144306","2",174395730,174429575
"ENSG00000144357","2",169827454,170084131
"ENSG00000144426","2",203014879,203226378
"ENSG00000144749","3",66378797,66501263
"ENSG00000144802","3",101827991,101861022
"ENSG00000145014","3",194587673,194633689
"ENSG00000145022","3",49412206,49416475
"ENSG00000145216","4",53377641,53460862
"ENSG00000145241","4",67468762,67545503
"ENSG00000145348","4",106041599,106316683
"ENSG00000145349","4",113451032,113761927
"ENSG00000145414","4",163110073,163166890
"ENSG00000145782","5",115828200,115841837
"ENSG00000145907","5",151771045,151812785
"ENSG00000145996","6",20534457,21232404
"ENSG00000146094","5",177501907,177511274
"ENSG00000146350","6",121079494,121334745
"ENSG00000146802","7",112762377,112790423
"ENSG00000146828","7",100826820,100867010
"ENSG00000146955","7",140404058,140427974
"ENSG00000146963","7",139340359,139423457
"ENSG00000147138","X",79144663,79175315
"ENSG00000147202","X",96684663,97604997
"ENSG00000147274","X",136848004,136880764
"ENSG00000147439","8",22620418,22669148
"ENSG00000147650","8",104489231,104589024
"ENSG00000147813","8",143574785,143578649
"ENSG00000147996","9",65668805,65734041
"ENSG00000148225","9",113313222,113340298
"ENSG00000148690","10",93667883,93702592
"ENSG00000149418","11",130159782,130210362
"ENSG00000149571","11",126423358,127003460
"ENSG00000149582","11",118531041,118547280
"ENSG00000149639","20",36777447,36863538
"ENSG00000149743","11",64223799,64226254
"ENSG00000150316","11",94962620,94973586
"ENSG00000150403","13",113491021,113554590
"ENSG00000150593","10",110871795,110900006
"ENSG00000150756","5",10225507,10249897
"ENSG00000150967","12",122920951,122981649
"ENSG00000151065","12",1946053,2004535
"ENSG00000151116","11",18529609,18588747
"ENSG00000151150","10",60026298,60733490
"ENSG00000151332","14",36298564,36320637
"ENSG00000151422","5",108747841,109196841
"ENSG00000151650","10",133237855,133241928
"ENSG00000151657","10",7750962,7787993
"ENSG00000151726","4",184755595,184826818
"ENSG00000151835","13",23328826,23433740
"ENSG00000152219","11",30323104,30338223
"ENSG00000153094","2",111119378,111168445
"ENSG00000153201","2",108719482,108785809
"ENSG00000153914","5",66139971,66183615
"ENSG00000153933","17",56834107,56869567
"ENSG00000154175","3",100749156,100993515
"ENSG00000154237","15",100919327,101078257
"ENSG00000154263","17",69147214,69244846
"ENSG00000154305","1",222618097,222668007
"ENSG00000154380","1",225486835,225653142
"ENSG00000155254","10",97713173,97718150
"ENSG00000155542","5",56909260,56925532
"ENSG00000155926","8",133036728,133102912
"ENSG00000155966","X",148500617,149000663
"ENSG00000156097","1",109539872,109548406
"ENSG00000156564","6",40391591,40587364
"ENSG00000156711","6",36127809,36144524
"ENSG00000156876","1",100083563,100132955
"ENSG00000156958","15",49155656,49367869
"ENSG00000157181","1",186375838,186421378
"ENSG00000157212","7",154943687,155003124
"ENSG00000157500","3",57227726,57278105
"ENSG00000157833","2",26173088,26189663
"ENSG00000157911","1",2403964,2413797
"ENSG00000158220","3",138434586,138481686
"ENSG00000158301","X",102712176,102717733
"ENSG00000158711","1",205597556,205632011
"ENSG00000158792","16",89696357,89701705
"ENSG00000159388","1",203305491,203309602
"ENSG00000159399","2",74834127,74893359
"ENSG00000159459","15",42942897,43106113
"ENSG00000159496","22",23688136,23699176
"ENSG00000159714","16",67394152,67416833
"ENSG00000159842","17",1003518,1229738
"ENSG00000160087","1",1253909,1273885
"ENSG00000160179","21",42199689,42297244
"ENSG00000160199","21",42974510,43033931
"ENSG00000160223","21",44217014,44240966
"ENSG00000160293","9",133761894,133992604
"ENSG00000160360","9",136327476,136359605
"ENSG00000160410","19",40576853,40591399
"ENSG00000160446","9",128720870,128724127
"ENSG00000160447","9",128702503,128720916
"ENSG00000160783","1",156212993,156240042
"ENSG00000160883","5",176880869,176899346
"ENSG00000161513","17",74862497,74873031
"ENSG00000161526","17",75667251,75708062
"ENSG00000162366","1",47183582,47191044
"ENSG00000162383","1",53087179,53142632
"ENSG00000162415","1",45016399,45306209
"ENSG00000162521","1",32651142,32686211
"ENSG00000162526","1",32351521,32364312
"ENSG00000162543","1",20186096,20196050
"ENSG00000162585","1",2184461,2212720
"ENSG00000162613","1",77944055,77979110
"ENSG00000162650","1",109483479,109492804
"ENSG00000162654","1",89181144,89198942
"ENSG00000162695","1",100896076,100981757
"ENSG00000162882","2",42767089,42792593
"ENSG00000162928","2",61017225,61051990
"ENSG00000162959","2",31865060,32011230
"ENSG00000162971","2",199928913,199955736
"ENSG00000162980","2",151788984,151828492
"ENSG00000163029","2",17663812,17800242
"ENSG00000163104","4",94207611,94291292
"ENSG00000163220","1",153357854,153361023
"ENSG00000163221","1",153373711,153375621
"ENSG00000163281","4",44682200,44726588
"ENSG00000163320","3",88051944,88149885
"ENSG00000163380","3",69106872,69123032
"ENSG00000163389","3",119468963,119494708
"ENSG00000163466","2",218217141,218254356
"ENSG00000163491","3",27110085,27369460
"ENSG00000163655","3",155870650,155944020
"ENSG00000163714","3",142964497,143060725
"ENSG00000163728","3",180602163,180617828
"ENSG00000163785","3",134065303,134250744
"ENSG00000163932","3",53156009,53192717
"ENSG00000163939","3",52545352,52685917
"ENSG00000163946","3",56620133,56683237
"ENSG00000163956","4",3503612,3532446
"ENSG00000164031","4",99896248,99946618
"ENSG00000164087","3",52075226,52154690
"ENSG00000164088","3",52245759,52250599
"ENSG00000164104","4",173331376,173334432
"ENSG00000164151","5",5420664,5490220
"ENSG00000164180","5",88189633,88269476
"ENSG00000164219","5",115204012,115262877
"ENSG00000164244","5",127517609,127555089
"ENSG00000164306","4",184649667,184694963
"ENSG00000164338","5",73565443,73583380
"ENSG00000164512","5",56099680,56233330
"ENSG00000164620","5",141636950,141641064
"ENSG00000164631","7",6688433,6706947
"ENSG00000164654","7",7566875,7608932
"ENSG00000164707","7",135681237,135729258
"ENSG00000164850","7",1082208,1093815
"ENSG00000164933","8",103398635,103415189
"ENSG00000164934","8",103414714,103443453
"ENSG00000164941","8",94813311,94881746
"ENSG00000164944","8",94487689,94553529
"ENSG00000164953","8",93754844,93819234
"ENSG00000164975","9",15422704,15465953
"ENSG00000164983","8",124306189,124372692
"ENSG00000164985","9",15464066,15510995
"ENSG00000165029","9",104781006,104928155
"ENSG00000165097","6",18155329,18223854
"ENSG00000165102","8",43140464,43202855
"ENSG00000165359","X",135520643,135582510
"ENSG00000165409","14",80954989,81146302
"ENSG00000165669","10",118297925,118342328
"ENSG00000165929","14",91779746,91867536
"ENSG00000165983","10",16436943,16513745
"ENSG00000166225","12",69470349,69579789
"ENSG00000166377","18",79069285,79378287
"ENSG00000166387","11",7513298,7657127
"ENSG00000166401","18",63970029,64019779
"ENSG00000166479","18",68673688,68715108
"ENSG00000166527","12",8509475,8522366
"ENSG00000166750","17",35243071,35273655
"ENSG00000166762","15",43628503,43668118
"ENSG00000166780","16",15434475,15625028
"ENSG00000166801","11",59142748,59155039
"ENSG00000166971","16",53491040,53504411
"ENSG00000167196","15",75903876,75942511
"ENSG00000167306","18",49822789,50195147
"ENSG00000167524","17",28601827,28614197
"ENSG00000167566","12",49791146,49828750
"ENSG00000167604","19",35887653,35902303
"ENSG00000167904","8",55696424,55773407
"ENSG00000167920","17",40819106,40836270
"ENSG00000168004","11",63461404,63491194
"ENSG00000168061","11",65040901,65044828
"ENSG00000168116","6",57046532,57055239
"ENSG00000168209","10",72273924,72276036
"ENSG00000168234","18",23992773,24135610
"ENSG00000168517","17",45160700,45170040
"ENSG00000168566","6",7590198,7611967
"ENSG00000168615","8",38996869,39105261
"ENSG00000168661","19",34926903,34945170
"ENSG00000168685","5",35852695,35879603
"ENSG00000168781","15",43533462,43590253
"ENSG00000168813","19",32345594,32387667
"ENSG00000169045","5",179614178,179634784
"ENSG00000169093","X",1403139,1453762
"ENSG00000169129","10",114294824,114404756
"ENSG00000169220","5",177357924,177372596
"ENSG00000169282","3",156037701,156539138
"ENSG00000169413","14",20781268,20782467
"ENSG00000169435","4",73571550,73620631
"ENSG00000169507","2",164896186,164955525
"ENSG00000169692","9",136673143,136687457
"ENSG00000169758","15",76059958,76229121
"ENSG00000170035","2",180967248,181076585
"ENSG00000170037","17",7932101,7949920
"ENSG00000170345","14",75278826,75282230
"ENSG00000170365","4",145481194,145559176
"ENSG00000170486","12",52585589,52601538
"ENSG00000170525","10",6144934,6254644
"ENSG00000170634","2",53970838,54305300
"ENSG00000170854","3",97941818,97972457
"ENSG00000171055","2",36531805,36646087
"ENSG00000171121","3",179236691,179267002
