ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_C1_C5_C7,pi_C10_C18_C19,pi_C9_C12_C15,chr,start_pos,end_pos,logFC_C1,logFC_C10,logFC_C11,logFC_C12,logFC_C13,logFC_C14,logFC_C15,logFC_C16,logFC_C17,logFC_C18,logFC_C19,logFC_C2,logFC_C3,logFC_C4,logFC_C5,logFC_C6,logFC_C7,logFC_C8,logFC_C9,AveExpr_C1,AveExpr_C10,AveExpr_C11,AveExpr_C12,AveExpr_C13,AveExpr_C14,AveExpr_C15,AveExpr_C16,AveExpr_C17,AveExpr_C18,AveExpr_C19,AveExpr_C2,AveExpr_C3,AveExpr_C4,AveExpr_C5,AveExpr_C6,AveExpr_C7,AveExpr_C8,AveExpr_C9,P_C1,pi_C1,P_C10,pi_C10,P_C11,pi_C11,P_C12,pi_C12,P_C13,pi_C13,P_C14,pi_C14,P_C15,pi_C15,P_C16,pi_C16,P_C17,pi_C17,P_C18,pi_C18,P_C19,pi_C19,P_C2,pi_C2,P_C3,pi_C3,P_C4,pi_C4,P_C5,pi_C5,P_C6,pi_C6,P_C7,pi_C7,P_C8,pi_C8,P_C9,pi_C9,crit_C1,crit_C10,crit_C12,crit_C15,crit_C18,crit_C19,crit_C5,crit_C7,crit_C9,sig_pi_C1,sig_pi_C5,sig_pi_C7,sig_pi_C9,sig_pi_C10,sig_pi_C12,sig_pi_C15,sig_pi_C18,sig_pi_C19
ENSG00000261459,NA,NA,protein_coding,12.00295035,19.55345892,1.475530094,16,30537244,30546173,-1.440541049,-3.134492649,-3.434788088,0.375368378,2.027330002,0.075072939,-1.740836488,2.428039358,1.6939516,-2.610877367,-0.025340977,-0.300295439,0.400709355,-2.276654427,2.361552943,-0.772939706,-2.140111986,2.736921321,-0.697866767,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,-3.165799888,0.227774523,0.925540212,0.058062451,3.874560883,0.037413578,4.901342158,0.710376213,0.055746554,0.111672925,1.930123803,0.954932814,0.001503499,0.14203706,1.475530094,0.062505874,2.923551611,0.131912032,1.490195629,0.011670156,5.046625801,0.986402172,0.000150677,0.857219796,0.02009211,0.823638955,0.033765021,0.059926087,2.782946125,0.033253052,3.490773134,0.523973761,0.216956802,0.024735356,3.438479067,0.016255946,4.896318743,0.554086983,0.178948429,Inf,5.072502026,Inf,21.63031547,Inf,9.499413183,Inf,Inf,NA,0,0,0,NA,0,0,0,0,0
ENSG00000281887,100527949,GIMAP1-GIMAP5,protein_coding,9.380525383,5.587557695,13.32894812,NA,NA,NA,3.240083185,3.975084052,-1.568572478,3.430316734,-2.365639999,-2.113339795,-2.303573344,-0.280707017,-0.735000866,-0.716463302,1.345383752,-5.543656529,2.084932982,-0.768722965,-2.417899662,1.55718439,-0.346559943,1.012417072,-0.556155406,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,1.917674913,0.044847056,4.36849419,0.039296587,5.587557695,0.339362892,0.73618698,0.032404926,5.109075894,0.168555562,1.829247479,0.105095882,2.067721874,0.073699646,2.608876516,0.746431371,0.035652631,0.47683817,0.236397585,0.400608436,0.284636476,0.220710215,0.882810637,0.008236227,11.55448629,0.277981295,1.159190267,0.471434354,0.251048603,0.129392678,2.147313233,0.139215199,1.333437778,0.654858863,0.063715839,0.269404343,0.576668114,0.682178612,0.09237847,2.999806794,5.469011084,0.926484017,3.835079791,1.536528848,4.422406321,8.969804788,1.506393761,4.529771603,4.36849419,0,0,0,5.587557695,5.109075894,0,0,0
ENSG00000146955,401409,RAB19,protein_coding,9.374927826,2.658917678,1,7,140103843,140126050,1.554056723,1.590037231,0.617458673,0.437720241,-1.286709876,-0.534858318,0.581478165,-0.730144752,-0.035980508,0.20904703,-0.118844884,-0.972578558,0.556565125,0.121355124,-1.374401781,0.215635449,-0.030307055,-0.936681541,-0.319222868,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,-1.126483018,0.006849401,3.363518659,0.021269824,2.658917678,0.373273008,0.264255896,0.49035018,0.13547164,0.027788872,2.002286667,0.277205053,0.298022444,0.315346106,0.291444141,0.215313606,0.486954362,0.924761803,0.001222262,0.593226855,0.047407517,0.818525401,0.010335683,0.22745078,0.625477496,0.497171801,0.168913904,0.794492645,0.012124605,0.009376383,2.78723824,0.621958946,0.044472284,0.938227866,0.000839253,0.079083458,1.032142828,0.477435446,0.102497784,1.608538816,1.306424934,0.742533857,1.087765158,1.022749177,1.089224914,1.731263981,1.108790382,1.695452249,3.363518659,2.78723824,0,0,2.658917678,0,0,0,0
ENSG00000213949,3672,ITGA1,protein_coding,9.093358969,1,1.168365782,5,52083730,52255040,-1.136782507,-0.629205974,-0.145099515,-0.541428002,0.656047918,-0.057321543,-0.652676048,0.397330498,-0.507576533,-0.258804734,-0.282710582,0.484106458,-0.25871742,0.794670129,1.709522781,1.080316807,0.530489685,1.168094779,1.022995264,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,3.703048694,0.034623524,1.660417194,0.401488322,0.249371367,0.848145022,0.010378951,0.282094546,0.297571705,0.19545145,0.465112456,0.919273772,0.002095397,0.230912779,0.415462265,0.468396384,0.130875289,0.340467401,0.237507477,0.591234008,0.059069746,0.606767405,0.061341908,0.522363688,0.136531102,0.727730795,0.035710571,0.123803376,0.720978391,0.000625813,5.476550713,0.066233544,1.273609259,0.229409718,0.339188839,0.025271943,1.865869477,0.072093677,1.168365782,0.899059751,0.86709994,1.519123028,1.294701723,0.906315415,1.085213307,1.261103023,1.277218489,1.543207769,1.660417194,5.476550713,0,0,0,0,0,0,0
ENSG00000139329,4060,LUM,protein_coding,8.969958747,1.233586681,9.604981429,12,91496406,91505608,1.589556007,1.837394907,-0.510353587,2.087467599,-1.526937632,-0.260280894,-0.758192487,-0.218745759,-0.2478389,-0.317894097,0.779275727,-2.347748493,1.308191872,1.78462754,0.575584005,2.412978912,2.436685457,2.663051604,2.152698017,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,-2.313042666,0.115952169,1.487381131,0.213118873,1.233586681,0.708541423,0.076366634,0.034136376,3.061861118,0.132480857,1.340417422,0.768614595,0.029747861,0.371341456,0.326194549,0.783093686,0.023227798,0.81707924,0.02174435,0.750955209,0.039541564,0.356494633,0.349074227,0.077107797,2.612813301,0.309277285,0.666722572,0.065763642,2.109454992,0.583601694,0.134619576,0.021430014,4.027207601,0.00334994,6.030706293,0.005679757,5.980335744,0.034895593,3.136974885,3.14127012,2.095054069,10.39782519,5.659026319,3.509154689,3.31475044,3.370635947,6.863709432,4.144664946,0,0,0,0,0,0,0,0,0
ENSG00000264324,NA,NA,protein_coding,8.737845805,9.295001901,5.071170978,2,74438731,74590504,-0.501859408,-1.930112348,0.027419959,-0.512620784,2.054734043,1.444911522,1.455672898,-1.202443313,1.42825294,-1.249969656,2.744556572,1.957532307,-3.257177356,-1.128749302,2.175954397,0.245842049,1.470735501,1.663333613,1.690753572,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,-1.454271049,0.561818594,0.125667549,0.122584886,1.759419139,0.981399968,0.000223581,0.539988102,0.137185426,0.061570207,2.487521416,0.077299063,1.60648987,0.064612298,1.731791934,0.139763809,1.027614395,0.110543739,1.366075163,0.167948367,0.968506757,0.011887782,5.28299465,0.095924132,1.992909066,0.018617093,5.635203906,0.309539693,0.574853567,0.014851754,3.978128274,0.779928232,0.026537508,0.03210324,2.196471607,0.082781261,1.799840015,0.018537982,2.928279592,1.434180141,1.33582844,3.134470307,1.502049224,1.252265921,1.257362264,2.196721625,1.716354108,2.206692649,0,3.978128274,2.196471607,2.928279592,1.759419139,0,1.731791934,0,5.28299465
ENSG00000166762,117155,CATSPER2,protein_coding,8.692494011,5.344938464,1.415620122,15,43920701,43960316,-1.111506129,-1.67696152,-0.510090567,-0.818943881,0.546623009,0.347927071,0.055364824,-0.216039791,0.565455391,-0.50662352,-0.056281082,1.166870953,-0.7626628,-0.025766382,1.027480147,-0.649481373,-0.104630792,0.208536265,-0.301554302,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,1.454737991,0.003110976,2.786660697,0.000649717,5.344938464,0.28820557,0.275600725,0.018681324,1.415620122,0.101501473,0.543085076,0.381312165,0.145683793,0.88311517,0.00298874,0.572994175,0.052249179,0.058627718,0.696582807,0.08927599,0.531582492,0.880454253,0.003111961,0.02866984,1.799985639,0.135113675,0.6629833,0.937660705,0.000720281,0.00092067,3.119322714,0.075868938,0.727377568,0.70550832,0.015851341,0.549386912,0.054244806,0.359214164,0.134085079,0.737192334,0.754100022,0.719656313,0.815970226,0.770479535,0.824644583,1.205769676,1.150010988,1.495946477,2.786660697,3.119322714,0,0,5.344938464,1.415620122,0,0,0
ENSG00000280987,9782,MATR3,protein_coding,8.260800954,4.511143415,1,NA,NA,NA,-3.422482658,-3.448471227,-1.663849541,-0.414989243,0.376992668,1.369632444,-1.637860971,0.337392142,0.02598857,2.86304871,-0.375388716,1.784621687,-0.039600527,3.44024562,0.954189578,-2.494281649,3.437802483,0.539200335,-1.124649205,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,-0.587417531,0.182750573,2.526275634,0.23481047,2.17006274,0.497194305,0.504934834,0.78925805,0.042653001,0.793084918,0.037955738,0.63356197,0.271476079,0.423111562,0.611814952,0.855698577,0.022834427,0.984650339,0.00017459,0.187896247,2.07880783,0.831099103,0.030161427,0.584931615,0.415629297,0.986534395,0.000233159,0.13018141,3.046169027,0.45973391,0.322032743,0.335784268,1.182138984,0.111898646,3.269952353,0.730609273,0.073500997,0.550156618,0.29186183,13.36650423,5.682608809,18.63569459,7.985679974,3.866379909,3.031898656,5.407526381,2.912623443,6.58860067,0,0,3.269952353,0,0,0,0,0,0
ENSG00000284952,NA,NA,protein_coding,8.065204176,6.741037654,2.436092082,NA,NA,NA,-1.740776301,-2.918452868,-1.277383182,-1.351375311,1.538970345,0.289694375,-0.099706615,-0.292904936,1.177676567,-1.230192853,0.48049997,1.641069686,-1.831875281,-1.968627157,0.800536041,-2.117916827,-2.088659225,-0.55083927,-1.828222452,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,-0.931184466,0.098746838,1.750310189,0.02232602,4.818916392,0.344977602,0.590418133,0.173253512,1.028826286,0.117760089,1.429706335,0.810609099,0.026416803,0.931479996,0.003073603,0.795254883,0.029142183,0.090039754,1.231338225,0.072926537,1.398870017,0.66782321,0.08425014,0.294768605,0.870618278,0.222037925,1.197263929,0.034337876,2.882516182,0.292661923,0.427193072,0.036173244,3.053215467,0.00622102,4.607871351,0.576501577,0.131760478,0.050680679,2.367836161,1.438682077,1.155410411,0.90952826,1.686638746,0.697049316,0.840296978,2.049585663,0.772515403,3.436847264,1.750310189,0,4.607871351,0,4.818916392,1.028826286,0,1.398870017,0
ENSG00000182195,23641,LDOC1,protein_coding,8.005633676,1.62443113,2.101710246,X,140269934,140271310,1.478824331,1.426625004,1.369485763,0.209484591,-1.212577516,0.15234535,1.42168509,-1.571520714,0.052199327,0.356467947,0.568427789,-0.057139241,-0.358943198,-0.065746001,-1.634791464,-0.20816646,0.312174349,-1.425306873,-0.05582111,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,-1.05972666,0.030027818,2.251474894,0.072668601,1.62443113,0.080288087,1.500064713,0.779320974,0.022683753,0.07526416,1.362223865,0.785552585,0.015969561,0.033241198,2.101710246,0.020360262,2.657781987,0.89881744,0.002418317,0.407748137,0.138882769,0.323866203,0.278321782,0.951203612,0.001241436,0.703384103,0.054849195,0.903876782,0.002885643,0.006682901,3.555728602,0.691073108,0.033405722,0.460761733,0.105054035,0.0238449,2.312709336,0.904522037,0.002432731,0.912622807,1.486884087,1.189520675,1.344677925,0.920873767,1.139264695,2.939006677,1.073972829,1.54439382,2.251474894,3.555728602,0,0,1.62443113,0,2.101710246,0,0
