"chr","pos","cms_score","genes","bin"
"chr3",70179120,17.2701,"MDFIC2","351"
"chr15",66410651,17.2501,"MEGF11 & MIR4311","333"
"chr1",170916068,17.1875,"MROH9","855"
"chr20",41027721,17.1105,"PTPRT","206"
"chr17",12363103,17.1036,"LINC00670","62"
"chr7",100805508,16.949,"AP1S1 & CLDN15 & FIS1 & MIR4653 & MOGAT3 & NAT16 & PLOD3 & SERPINE1 & TRIM56 & VGF & ZNHIT1","505"
"chr12",66572219,16.9337,"IRAK3 & LLPH & LLPH-DT & MIR6502 & TMBIM4","333"
"chr3",24281453,16.9326,"LOC101927854 & THRB","122"
"chr16",63169289,16.908,"NONAME","316"
"chr14",23511047,16.8293,"ACIN1 & AJUBA & C14orf119 & C14orf93 & CDH24 & CEBPE & HAUS4 & LMLN2 & LOC101926933 & MIR4707 & PSMB11 & PSMB5 & SLC7A8","118"
"chr2",24654215,16.812,"ITSN2 & NCOA1","124"
"chr7",157132342,16.8057,"DNAJB6 & UBE3C","786"
"chr1",81130780,16.7143,"LINC01781","406"
"chr12",120856874,16.7038,"COQ5 & COX6A1 & DYNLL1 & GATC & MSI1 & NRAV & PLA2G1B & SRSF9 & TRIAP1","605"
"chr9",127909069,16.6481,"HSPA5 & LOC105376271 & PPP6C & RABEPK & SCAI","640"
"chr7",131853816,16.6348,"LOC101928807 & PLXNA4","660"
"chr17",80928674,16.5981,"B3GNTL1 & TBCD","405"
"chr3",24885336,16.5431,"RARB","125"
"chr3",69369296,16.5178,"FRMD4B","347"
"chr8",11663173,16.4462,"C8orf49 & CTSB & FDFT1 & GATA4 & NEIL2","59"
"chr10",96132106,16.3721,"NOC3L & PLCE1 & PLCE1-AS1 & TBC1D12","481"
"chr14",61477507,16.3601,"MNAT1 & SLC38A6 & TRMT5","308"
"chr9",136390116,16.3146,"ADAMTS13 & ADAMTSL2 & CACFD1 & FAM163B & MYMK & SLC2A6","682"
"chr21",44524006,16.3117,"CBS & CBSL & CRYAA & CRYAA2 & FRGCA & LOC106780825 & PKNOX1 & U2AF1 & U2AF1L5","223"
"chr12",48145171,16.2411,"ENDOU & HDAC7 & RAPGEF3 & RPAP3 & SLC48A1 & VDR","241"
"chr11",130089231,16.186,"APLP2 & LOC646383 & ST14 & ZBTB44","651"
"chr8",129009401,16.08,"MIR1205 & MIR1206 & MIR1207 & PVT1 & TMEM75","646"
"chr8",119430347,16.0635,"SAMD12","598"
"chr12",114760656,16.0403,"LINC02459 & TBX5 & TBX5-AS1","574"
"chr1",11642386,15.992,"DISP3 & FBXO2 & FBXO44 & FBXO6 & LINC01647 & MAD2L2","59"
"chr2",28669749,15.9167,"FLJ31356 & FOSL2 & PLB1","144"
"chr15",37315018,15.9107,"MEIS2 & MIR8063","187"
"chr8",5495711,15.9041,"NONAME","28"
"chr14",70650225,15.8456,"ADAM21P1 & LOC646548 & SLC8A3","354"
"chr6",156917322,15.8437,"NONAME","785"
"chr6",65467612,15.8369,"EYS","328"
"chr1",80838880,15.8369,"NONAME","405"
"chr1",170662120,15.7613,"PRRX1","854"
"chr8",142299511,15.7466,"DENND3 & GPR20 & LINC01300 & LOC105375787 & SLC45A4","712"
"chr11",11959136,15.7466,"DKK3 & LINC02547 & USP47","60"
"chr6",106381668,15.7429,"NONAME","532"
"chr7",33001824,15.7131,"FKBP9 & KBTBD2 & NT5C3A & RP9P","166"
"chr7",32984247,15.7044,"FKBP9 & KBTBD2 & NT5C3A & RP9P","165"
"chr16",75202935,15.7037,"BCAR1 & CTRB1 & CTRB2 & LDHD & LOC100506281 & ZFP1 & ZNRF1","377"
"chr3",117376407,15.6929,"LINC02024","587"
"chr10",79711325,15.6881,"DLG5 & DLG5-AS1 & POLR3A & RPS24","399"
"chr15",66395428,15.6742,"MEGF11 & MIR4311","332"
"chr4",102476921,15.6549,"NONAME","513"
"chr3",69712957,15.6522,"MITF","349"
"chr16",80237041,15.6041,"LOC102724084","402"
"chr16",23367580,15.6002,"COG7 & SCNN1B","117"
"chr5",75785818,15.597,"IQGAP2","379"
"chr16",20414772,15.5914,"ACSM2A & ACSM5 & GP2 & PDILT & UMOD","103"
"chr3",66451821,15.5208,"LRIG1 & SLC25A26","333"
"chr12",30976136,15.5195,"CAPRIN2 & LINC00941 & LOC645485","155"
"chr5",135462564,15.4981,"SMAD5 & SMAD5-AS1 & SMIM32 & TGFBI & TRPC7 & TRPC7-AS2 & VTRNA2-1","678"
"chr15",34026710,15.4806,"RYR3","171"
"chr3",26558520,15.4538,"NONAME","133"
"chr4",31286598,15.4521,"LINC02497","157"
"chr3",117750008,15.4422,"NONAME","589"
"chr16",26584816,15.4397,"NONAME","133"
"chr15",56888770,15.4252,"ZNF280D","285"
"chr16",11297562,15.4149,"CLEC16A & PRM1 & PRM2 & PRM3 & SOCS1 & TNP2","57"
"chr3",167915921,15.382,"EGFEM1P","840"
"chr7",132017849,15.3642,"LOC101928807 & PLXNA4","661"
"chr16",75191471,15.3423,"BCAR1 & CTRB1 & CTRB2 & LDHD & LOC100506281 & ZFP1 & ZNRF1","376"
"chr6",53355211,15.3328,"GCLC & LOC101927136","267"
"chr19",40411407,15.3129,"DYRK1B & FBL & FCGBP & MIR6719 & PSMC4 & ZNF546","203"
"chr16",10998482,15.3103,"CIITA & CLEC16A & DEXI & TVP23A","55"
"chr8",142608216,15.2935,"MROH5","714"
"chr12",75970451,15.2934,"GLIPR1 & KRR1","380"
"chr2",170130080,15.2813,"LRP2","851"
"chr3",70202293,15.271,"MDFIC2","352"
"chr22",37824369,15.2624,"CARD10 & ELFN2 & LOC100506271 & MFNG","190"
"chr6",53100677,15.2515,"ELOVL5 & GCM1 & MIR5685 & RPS16P5","266"
"chr1",89815198,15.2512,"GBP1P1 & GBP5 & GBP6 & LOC729930","450"
"chr20",259969,15.2435,"C20orf96 & DEFB128 & DEFB129 & DEFB132 & NRSN2 & NRSN2-AS1 & SOX12 & ZCCHC3","2"
"chr1",34764974,15.2289,"C1orf94","174"
"chr14",49625519,15.2156,"NONAME","249"
"chr2",112007075,15.1878,"BCL2L11 & MIR4435-1 & MIR4435-2 & MIR4435-2HG","561"
"chr1",79495100,15.1617,"ADGRL4","398"
"chr13",39980168,15.1563,"LHFPL6","200"
"chr8",24865502,15.1488,"MIR6841 & NEFL & NEFM","125"
"chr18",48382736,15.1476,"ME2 & MRO","242"
"chr10",53795073,15.1229,"PRKG1","269"
"chr11",8571177,15.1099,"STK33 & TRIM66","43"
"chr8",9819536,15.0989,"LINC00599 & MIR124-1 & MSRA","50"
"chr12",45483229,15.0986,"DBX2 & PLEKHA8P1 & RACGAP1P & RNY5","228"
"chr2",170997993,15.0943,"MYO3B & UBR3","855"
"chr16",28561581,15.073,"APOBR & CLN3 & IL27 & NPIPB8 & NUPR1 & SGF29 & SULT1A1 & SULT1A2","143"
"chr7",4652209,15.0658,"FOXK1","24"
"chr5",160322250,15.0638,"ATP10B & LINC02159","802"
"chr14",35486330,15.0587,"FAM177A1 & IGBP1P1 & LOC101927178 & PPP2R3C & SRP54 & SRP54-AS1","178"
"chr13",71297213,15.0587,"NONAME","357"
"chr3",140480235,15.0443,"TRIM42","703"
"chr12",3243764,15.0443,"TEAD4 & TSPAN9","17"
"chr10",69900977,15.0421,"ATOH7 & HERC4 & MYPN","350"
"chr7",8335220,15.0321,"ICA1 & LOC100505938","42"
"chr2",111992490,14.9972,"BCL2L11 & MIR4435-1 & MIR4435-2 & MIR4435-2HG","560"
"chr1",6572861,14.9849,"ESPN & HES2 & KLHL21 & MIR4252 & NOL9 & PLEKHG5 & TAS1R1 & TNFRSF25 & ZBTB48","33"
"chr10",33465037,14.9615,"NRP1","168"
"chr12",76295681,14.9423,"NONAME","382"
"chr6",36269166,14.9353,"BRPF3 & C6orf222 & ETV7 & PNPLA1 & PXT1","182"
"chr3",68552320,14.911,"FAM19A1 & LOC105377146","343"
"chr3",121351750,14.8859,"ARGFX & FBXO40 & GOLGB1 & HCLS1 & POLQ","607"
"chr1",101690551,14.8854,"LINC01307 & LOC101928370 & S1PR1","509"
"chr3",66718975,14.8421,"LOC105377143","334"
"chr14",61324754,14.8421,"MNAT1","307"
"chr10",134070720,14.842,"DPYSL4 & JAKMIP3 & LRRC27 & STK32C","671"
"chr22",41637119,14.8408,"CHADL & EP300 & EP300-AS1 & L3MBTL2 & LOC100506544 & MIR6889 & RANGAP1 & ZC3H7B","209"
"chr15",46619133,14.8373,"NONAME","234"
"chr3",70657513,14.7829,"NONAME","354"
"chr3",69407753,14.7714,"FRMD4B","348"
"chr6",10387379,14.752,"LINC00518 & MIR5689 & MIR5689HG & TFAP2A & TFAP2A-AS1 & TFAP2A-AS2","52"
"chr11",43210530,14.7262,"HNRNPKP3","217"
"chr16",85788388,14.7133,"C16orf74 & COX4I1 & EMC8 & GINS2 & GSE1 & LOC101928557 & MIR1910","429"
"chr11",118459269,14.6942,"ARCN1 & IFT46 & KMT2A & LOC101929089 & MIR6716 & PHLDB1 & TMEM25 & TREH & TTC36","593"
"chr8",57665019,14.6164,"NONAME","289"
"chr5",79086316,14.6114,"CMYA5","396"
"chr10",101337190,14.5887,"ENTPD7 & LINC01475 & NKX2-3 & SLC25A28","507"
"chr6",154465648,14.5801,"IPCEF1 & OPRM1","773"
"chr19",56453938,14.568,"NLRP13 & NLRP4 & NLRP5 & NLRP8","283"
"chr22",44809998,14.5569,"LINC01656 & RTL6","225"
"chr15",33163719,14.5327,"FMN1","166"
"chr13",65175493,14.5237,"NONAME","326"
"chr16",25786611,14.5089,"HS3ST4","129"
"chr3",10527471,14.4737,"ATP2B2 & MIR885","53"
"chr15",51679783,14.4676,"CYP19A1 & DMXL2 & GLDN & MIR4713HG & MIR7973-1 & MIR7973-2","259"
"chr12",108852590,14.4643,"FICD & LINC01498 & SART3","545"
"chr10",24564859,14.4301,"KIAA1217 & MIR603","123"
"chr2",42608534,14.4262,"COX7A2L & EML4 & KCNG3","214"
"chr3",187681712,14.425,"LINC01991","939"
"chr3",100812126,14.4181,"ABI3BP","505"
"chr1",167217843,14.3963,"LINC01363 & POU2F1","837"
"chr21",15279270,14.3919,"ANKRD20A11P & CYP4F29P & LOC110091776","77"
"chr11",43177989,14.3815,"NONAME","216"
"chr7",94603,14.3688,"FAM20C & LOC100507642 & LOC102723672 & LOC105375115","1"
"chr1",161685591,14.3599,"ATF6 & DUSP12 & FCGR2B & FCGR3B & FCRLA & FCRLB & RPL31P11","809"
"chr5",76543805,14.3568,"PDE8B & ZBED3-AS1","383"
"chr2",153386258,14.3447,"FMNL2","767"
"chr1",111924907,14.3399,"ATP5PB & C1orf162 & CHIA & CHIAP2 & OVGP1 & PGCP1 & PIFO & WDR77","560"
"chr22",41436975,14.3396,"EP300 & MIR1281 & RBX1 & SNORD140","208"
"chr4",118513954,14.3323,"LINC01378","593"
"chr7",34190431,14.3304,"BMPER","171"
"chr13",97593569,14.3214,"LINC00359 & OXGR1","488"
"chr5",40629687,14.3148,"PTGER4 & TTC33","204"
"chr21",39837386,14.2955,"ERG","200"
"chr10",26992412,14.2879,"ABI1 & FAM238B & PDSS1","135"
"chr15",50711901,14.2813,"GABPB1 & GABPB1-AS1 & GABPB1-IT1 & MIR4712 & USP50 & USP8","254"
"chr4",100300816,14.2661,"ADH1A & ADH1B & ADH1C & ADH7 & LOC100507053","502"
"chr19",32816689,14.2628,"DPY19L3 & LOC400684 & ZNF507","165"
"chr5",112906466,14.2621,"MCC & YTHDC2","565"
"chr3",21057399,14.2554,"NONAME","106"
"chr10",53808482,14.2486,"PRKG1","270"
"chr12",110279866,14.2461,"FAM222A & FAM222A-AS1 & GIT2 & GLTP & MIR4497 & TCHP & TRPV4","552"
"chr19",32465584,14.2283,"LINC01533","163"
"chr19",17630956,14.2184,"COLGALT1 & FAM129C & LOC100507551 & MVB12A & NXNL1 & PGLS & SLC27A1 & TMEM221 & UNC13A","89"
"chr11",69594980,14.2177,"FGF19 & FGF3 & FGF4","348"
"chr17",81015295,14.2074,"B3GNTL1 & METRNL","406"
"chr14",70574585,14.2059,"LOC646548 & SLC8A3 & SMOC1","353"
"chr9",140756398,14.1972,"CACNA1B & EHMT1 & LOC100133077 & LOC105376331 & LOC651337 & MIR602","704"
"chr10",134612175,14.1645,"CFAP46 & INPP5A & NKX6-2","674"
"chr1",245297324,14.146,"EFCAB2 & KIF26B & KIF26B-AS1","1227"
"chr5",155867152,14.1439,"SGCD","780"
"chr10",45734317,14.1278,"ANKRD30BP3 & MIR3156-1 & OR13A1 & RSU1P2","229"
"chr4",90166778,14.1224,"GPRIN3","451"
"chr17",30610542,14.1221,"C17orf75 & MIR632 & RHBDL3 & RHOT1 & ZNF207","154"
"chr10",45448818,14.115,"C10orf25 & DEPP1 & RASSF4 & TMEM72 & TMEM72-AS1 & ZNF22","228"
"chr5",75913305,14.0961,"F2R & F2RL2 & IQGAP2 & LOC101929109 & NCRUPAR","380"
"chr15",60154009,14.0827,"NONAME","301"
"chr16",13334971,14.0719,"SHISA9","67"
"chr20",6866045,14.0577,"NONAME","35"
"chr9",35107765,14.0515,"C9orf131 & FAM214B & FANCG & PIGO & STOML2 & UNC13B & VCP","176"
"chr21",44031933,14.0442,"LINC01671 & PDE9A & SLC37A1","221"
"chr4",5165055,14.0409,"STK32B","26"
"chr12",111719060,14.0409,"CUX2 & MIR6760 & PHETA1","559"
"chr19",32780296,14.0043,"ZNF507","164"
"chr2",41976649,13.9996,"NONAME","210"
"chr2",43046262,13.9778,"HAAO & MTA3 & OXER1","216"
"chr11",23533467,13.9715,"MIR8054","118"
"chr5",162746066,13.9609,"NONAME","814"
"chr16",58125839,13.9527,"CFAP20 & CSNK2A2 & MMP15 & USB1 & ZNF319","291"
"chr5",40804623,13.9109,"CARD6 & LOC100506548 & PRKAA1 & RPL37 & SNORD72 & TTC33","205"
"chr5",153911912,13.9109,"HAND1 & MIR3141 & SAP30L & SAP30L-AS1","770"
"chr16",63397640,13.9021,"NONAME","317"
"chr21",21724015,13.9008,"LINC02573","109"
"chr21",47560946,13.8873,"COL6A2 & FTCD & FTCD-AS1 & LSS & MCM3AP & MCM3AP-AS1 & SNORD159 & SPATC1L","238"
"chr18",35075477,13.8864,"CELF4 & SNORA111","176"
"chr15",45096539,13.8595,"B2M & LOC100419583 & SORD2P & TRIM69","226"
"chr15",50007437,13.8358,"DTWD1 & FAM227B","251"
"chr19",50770814,13.8295,"KCNC3 & MYH14 & NAPSA & NAPSB","254"
"chr20",53272441,13.816,"DOK5","267"
"chr17",11770111,13.8153,"DNAH9","59"
"chr12",29661735,13.8141,"OVCH1 & OVCH1-AS1 & TMTC1","149"
"chr1",30890587,13.8132,"NONAME","155"
"chr5",112789579,13.8086,"MCC & TSSK1B & YTHDC2","564"
"chr6",157405372,13.7812,"ARID1B","788"
"chr5",73306062,13.7769,"ARHGEF28","367"
"chr9",35281298,13.7597,"UNC13B","177"
"chr14",98497735,13.7587,"LINC01550","493"
"chr19",40351331,13.7397,"DYRK1B & FBL & FCGBP & LEUTX & MIR6719","202"
"chr18",22249592,13.727,"LINC01915 & LOC105372028","112"
"chr17",6307495,13.7059,"AIPL1 & PIMREG & PITPNM3","32"
"chr11",42995648,13.6925,"NONAME","215"
"chr11",63329250,13.6895,"ATL3 & HRASLS2 & HRASLS5 & LGALS12 & PLA2G16 & RARRES3","317"
"chr4",166362729,13.6701,"CPE & MIR578 & MSMO1","832"
"chr5",14989965,13.6674,"NONAME","75"
"chr8",134184165,13.6518,"CCN4 & NDRG1 & SLA & TG","671"
"chr9",131489620,13.6476,"ENDOG & LOC100506100 & MIR1268A & PKN3 & SET & SPOUT1 & SPTAN1 & TBC1D13 & WDR34 & ZDHHC12 & ZER1","658"
"chr11",15966681,13.6455,"MIR6073 & SOX6","80"
"chr2",79634971,13.6299,"LOC101927987","399"
"chr7",32399469,13.624,"LOC100130673 & PDE1C","162"
"chr4",156029149,13.6097,"NONAME","781"
"chr2",8099581,13.6097,"LINC00298 & LINC00299 & LOC101929551","41"
"chr1",76018649,13.6093,"SLC44A5","381"
"chr2",26739247,13.6058,"C2orf70 & CIB4 & DRC1 & OTOF","134"
"chr12",75618935,13.5953,"CAPS2 & KCNC2 & LOC100130268","379"
"chr3",73873823,13.5896,"LINC02005","370"
"chr2",153405621,13.5851,"FMNL2","768"
"chr3",70429489,13.5844,"MDFIC2","353"
"chr3",192605629,13.5829,"MB21D2","964"
"chr10",98905223,13.5828,"ARHGAP19 & ARHGAP19-SLIT1 & SLIT1 & SLIT1-AS1","495"
"chr17",37273402,13.5656,"ARL5C & CACNB1 & LINC02079 & LRRC37A11P & PLXDC1 & RDM1P5 & RPL19 & STAC2","187"
"chr8",142447756,13.5619,"GPR20 & LINC01300 & MROH5 & PTP4A3","713"
"chr19",34137688,13.5608,"CHST8","171"
"chr6",156751995,13.558,"SNORD28B","784"
"chr2",221689038,13.558,"NONAME","1109"
"chr10",21057847,13.5473,"NEBL","106"
"chr12",11906034,13.5256,"ETV6","60"
"chr13",24686077,13.5206,"MIR2276 & SPATA13","124"
"chr19",19868623,13.5173,"ATP13A1 & LINC00663 & ZNF101 & ZNF14 & ZNF506 & ZNF56","100"
"chr7",133749550,13.5172,"EXOC4 & LRGUK","669"
"chr8",26306214,13.5152,"BNIP3L & DPYSL2 & PNMA2 & PPP2R2A & SDAD1P1","132"
"chr1",84717820,13.512,"PRKACB & SAMD13","424"
"chr3",87659612,13.5114,"NONAME","439"
"chr15",66161723,13.511,"DENND4A & MEGF11 & RAB11A","331"
"chr20",39537831,13.4731,"LOC100128988","198"
"chr14",35378740,13.4731,"BAZ1A & IGBP1P1 & SRP54 & SRP54-AS1","177"
"chr3",18606404,13.4564,"SATB1-AS1","94"
"chr8",9166532,13.4524,"LOC157273","46"
"chr7",46702781,13.4483,"LOC730338","234"
"chr12",31006102,13.4394,"CAPRIN2 & LINC00941 & LOC645485 & TSPAN11","156"
"chr7",38750986,13.4354,"AMPH & FAM183BP & VPS41","194"
"chr1",14220186,13.4288,"PRDM2","72"
"chr11",69662479,13.4248,"FGF3 & FGF4","349"
"chr12",75572814,13.4148,"CAPS2 & KCNC2 & LOC100130268","378"
"chr22",50730320,13.3781,"DENND6B & HDAC10 & MAPK11 & MAPK12 & PLXNB2 & PPP6R2 & SELENOO & TRABD & TUBGCP6","254"
"chr16",79979968,13.375,"NONAME","400"
"chr13",64926875,13.3669,"NONAME","325"
"chr3",23117385,13.3548,"NONAME","116"
"chr17",931002,13.3493,"ABR & MIR3183 & NXN & TIMM22","5"
"chr12",49530022,13.339,"DHH & KMT2D & LMBR1L & RHEBL1 & TUBA1A & TUBA1B & TUBA1C","248"
"chr3",168202444,13.3253,"EGFEM1P & MIR551B","842"
"chr2",56261725,13.3195,"LINC01813 & MIR216A & MIR216B & MIR217 & MIR217HG","282"
"chr2",134577255,13.3178,"NONAME","673"
"chr22",49663040,13.3173,"NONAME","249"
"chr6",19814369,13.3144,"ID4 & LOC100506885","100"
"chr14",36462503,13.3144,"LINC00609","183"
"chr1",75278010,13.3048,"CRYZ & TYW3","377"
"chr11",109317548,13.2843,"C11orf87","547"
"chr12",7311976,13.2821,"C1R & C1RL & C1RL-AS1 & CLSTN3 & PEX5 & RBP5","37"
"chr5",154038360,13.2675,"LARP1 & MIR1303 & MIR3141","771"
"chr1",28461661,13.2602,"DNAJC8 & EYA3 & PTAFR","143"
"chr9",27174955,13.2562,"LINC00032 & TEK","136"
"chr2",169991103,13.2561,"DHRS9 & LRP2","850"
"chr2",42599982,13.2548,"COX7A2L & EML4 & KCNG3","213"
"chr10",16396872,13.2379,"PTER","82"
"chr8",36012253,13.2075,"NONAME","181"
"chr17",14356742,13.2068,"NONAME","72"
"chr16",20062508,13.206,"GPR139","101"
"chr4",72670093,13.1848,"GC","364"
"chr9",4959331,13.1818,"JAK2 & RCL1","25"
"chr6",120247231,13.1686,"LOC105377975 & MIR3144","602"
"chr11",126288762,13.1634,"DCPS & GSEC & KIRREL3 & ST3GAL4","632"
"chr20",8588762,13.1605,"PLCB1","43"
"chr10",70946082,13.1562,"HK1 & HKDC1 & LOC101928994 & SRGN & SUPV3L1 & VPS26A","355"
"chr16",72914405,13.1497,"ZFHX3","365"
"chr8",118308082,13.136,"NONAME","592"
"chr4",37559939,13.1099,"C4orf19 & RELL1","188"
"chr6",110736610,13.0998,"DDO & METTL24 & SLC22A16","554"
"chr17",72319471,13.0998,"BTBD17 & DNAI2 & GPR142 & KIF19 & TTYH2","362"
"chr4",68749047,13.085,"TMPRSS11A & TMPRSS11D","344"
"chr1",195921650,13.0763,"LINC01724","980"
"chr2",34313801,13.0606,"LINC01317 & LINC01318","172"
"chr2",111750992,13.0533,"ACOXL","559"
"chr12",115591985,13.0524,"NONAME","578"
"chr12",48224721,13.0393,"HDAC7 & RAPGEF3 & SLC48A1 & VDR","242"
"chr1",60564479,13.0368,"C1orf87","303"
"chr9",93627484,13.0349,"SYK","469"
"chr3",72001105,13.0264,"LINC00877","361"
"chr20",52627481,13.0236,"BCAS1 & MIR4756","264"
"chr9",26538805,13.0111,"NONAME","133"
"chr1",150498002,13.0102,"ADAMTSL4 & ADAMTSL4-AS1 & ECM1 & ENSA & FALEC & MCL1 & MIR4257 & MIR6878 & RPRD2 & TARS2","753"
"chr7",50249013,13.0053,"IKZF1 & SPATA48","252"
"chr4",84259301,13.0053,"COQ2 & HELQ & HPSE","422"
"chr14",58450748,13.0027,"ARMH4","293"
"chr16",62326911,12.99,"NONAME","312"
"chr17",14409223,12.9894,"NONAME","73"
"chr8",17056529,12.9874,"CNOT7 & MICU3 & MTMR7 & VPS37A & ZDHHC2","86"
"chr16",23865164,12.9868,"CHP2 & PRKCB","120"
"chr2",151891393,12.9819,"NONAME","760"
"chr4",82645980,12.9517,"NONAME","414"
"chr12",98592566,12.9419,"NONAME","493"
"chr14",24649669,12.9413,"CHMP4A & DCAF11 & EMC9 & FITM1 & GMPR2 & IPO4 & IRF9 & MDP1 & MIR7703 & NEDD8 & NEDD8-MDP1 & NRL & PCK2 & PSME1 & PSME2 & RABGGTA & REC8 & RNF31 & TGM1 & TINF2 & TM9SF1 & TSSK4","124"
"chr8",73997216,12.9284,"SBSPON & TERF1","370"
"chr4",172837311,12.9235,"GALNTL6","865"
"chr8",134224878,12.9062,"CCN4 & NDRG1 & TG","672"
"chr13",69449801,12.89,"LINC00550","348"
"chr5",90769619,12.8866,"ARRDC3 & ARRDC3-AS1","454"
"chr5",172764327,12.8778,"MIR8056 & STC2","864"
"chr4",189100229,12.8619,"TRIML1 & TRIML2","946"
"chr20",42759354,12.8543,"JPH2 & OSER1 & OSER1-DT & TOX2","214"
"chr19",33402100,12.8527,"CEP89 & FAAP24 & RHPN2 & SLC7A9 & TDRD12","168"
"chr5",156670916,12.8413,"CYFIP2 & FAM71B & FNDC9 & ITK","784"
"chr8",101482545,12.8305,"ANKRD46 & MIR4471","508"
"chr14",60848224,12.8247,"C14orf39 & LINC02322 & PPM1A","305"
"chr5",11020918,12.8228,"CTNND2","56"
"chr3",101652887,12.8228,"LINC02085 & NFKBIZ","509"
"chr15",70123826,12.8226,"LINC00593","351"
"chr3",21997844,12.805,"ZNF385D-AS2","110"
"chr6",158497717,12.8033,"GTF2H5 & SERAC1 & SYNJ2 & SYNJ2-IT1","793"
"chr20",52289052,12.8033,"LOC101927770 & LOC105372672 & ZNF217","262"
"chr9",131290327,12.7993,"CERCAM & GLE1 & MIR1268A & ODF2 & SPTAN1","657"
