ensembl_gene_id,chromosome_name,start_position,end_position,from_position,to_position,length
ENSG00000058729,5,97160867,97183247,chr5:97160867,chr5:97183247,22380
ENSG00000059758,12,96278261,96400480,chr12:96278261,chr12:96400480,122219
ENSG00000060140,12,10618923,10674318,chr12:10618923,chr12:10674318,55395
ENSG00000060971,3,38103129,38137242,chr3:38103129,chr3:38137242,34113
ENSG00000062725,17,60443158,60526242,chr17:60443158,chr17:60526242,83084
ENSG00000063127,19,49289638,49325215,chr19:49289638,chr19:49325215,35577
ENSG00000064270,16,84368527,84464187,chr16:84368527,chr16:84464187,95660
ENSG00000064393,7,139561570,139777998,chr7:139561570,chr7:139777998,216428
ENSG00000065989,19,10416773,10469630,chr19:10416773,chr19:10469630,52857
ENSG00000066027,1,212285410,212361853,chr1:212285410,chr1:212361853,76443
ENSG00000066422,3,101648889,101677132,chr3:101648889,chr3:101677132,28243
ENSG00000066855,8,65644734,65771261,chr8:65644734,chr8:65771261,126527
ENSG00000066923,7,100177563,100221488,chr7:100177563,chr7:100221488,43925
ENSG00000067606,1,2050411,2185395,chr1:2050411,chr1:2185395,134984
ENSG00000068024,2,239048168,239401654,chr2:239048168,chr2:239401654,353486
ENSG00000068120,17,42561467,42566277,chr17:42561467,chr17:42566277,4810
ENSG00000068305,15,99565417,99716466,chr15:99565417,chr15:99716466,151049
ENSG00000068724,2,46916157,47076137,chr2:46916157,chr2:47076137,159980
ENSG00000068885,3,160256986,160399880,chr3:160256986,chr3:160399880,142894
ENSG00000068976,11,64746389,64759974,chr11:64746389,chr11:64759974,13585
ENSG00000070444,17,2384073,2401104,chr17:2384073,chr17:2401104,17031
ENSG00000071575,2,12716889,12742734,chr2:12716889,chr2:12742734,25845
ENSG00000071794,3,149030127,149086554,chr3:149030127,chr3:149086554,56427
ENSG00000071994,6,170575295,170584692,chr6:170575295,chr6:170584692,9397
ENSG00000072310,17,17810399,17837011,chr17:17810399,chr17:17837011,26612
ENSG00000072756,3,3126933,3150879,chr3:3126933,chr3:3150879,23946
ENSG00000072818,17,7336529,7351477,chr17:7336529,chr17:7351477,14948
ENSG00000072954,19,16661139,16690023,chr19:16661139,chr19:16690023,28884
ENSG00000073584,17,40624962,40648654,chr17:40624962,chr17:40648654,23692
ENSG00000073849,3,186930502,187078553,chr3:186930502,chr3:187078553,148051
ENSG00000074696,15,65530418,65578349,chr15:65530418,chr15:65578349,47931
ENSG00000075218,22,46296870,46330810,chr22:46296870,chr22:46330810,33940
ENSG00000075292,2,71276561,71435069,chr2:71276561,chr2:71435069,158508
ENSG00000075407,10,38094334,38150293,chr10:38094334,chr10:38150293,55959
ENSG00000076928,19,41883161,41930150,chr19:41883161,chr19:41930150,46989
ENSG00000077238,16,27313668,27364778,chr16:27313668,chr16:27364778,51110
ENSG00000077254,1,77695987,77759852,chr1:77695987,chr1:77759852,63865
ENSG00000078043,18,46803218,46920160,chr18:46803218,chr18:46920160,116942
ENSG00000078808,1,1216908,1232067,chr1:1216908,chr1:1232067,15159
ENSG00000079134,18,214520,268050,chr18:214520,chr18:268050,53530
ENSG00000079277,1,46557408,46616843,chr1:46557408,chr1:46616843,59435
ENSG00000079335,1,100345001,100520277,chr1:100345001,chr1:100520277,175276
ENSG00000079739,1,63593411,63660245,chr1:63593411,chr1:63660245,66834
ENSG00000080298,9,3218297,3526004,chr9:3218297,chr9:3526004,307707
ENSG00000080345,2,151409883,151508013,chr2:151409883,chr2:151508013,98130
ENSG00000081026,1,113390515,113685923,chr1:113390515,chr1:113685923,295408
ENSG00000081177,14,69191511,69244020,chr14:69191511,chr14:69244020,52509
ENSG00000081307,3,132654446,132678097,chr3:132654446,chr3:132678097,23651
ENSG00000081665,19,19785839,19821751,chr19:19785839,chr19:19821751,35912
ENSG00000082014,7,151238764,151277896,chr7:151238764,chr7:151277896,39132
ENSG00000082213,5,31532287,31555053,chr5:31532287,chr5:31555053,22766
ENSG00000082258,2,134918235,134959342,chr2:134918235,chr2:134959342,41107
ENSG00000082269,6,70412941,70561174,chr6:70412941,chr6:70561174,148233
ENSG00000082512,1,211326615,211374946,chr1:211326615,chr1:211374946,48331
ENSG00000083312,5,72816312,72916733,chr5:72816312,chr5:72916733,100421
ENSG00000083544,13,60396457,60573878,chr13:60396457,chr13:60573878,177421
ENSG00000083799,16,50742050,50801935,chr16:50742050,chr16:50801935,59885
ENSG00000084731,2,25926598,25982749,chr2:25926598,chr2:25982749,56151
ENSG00000085491,1,108134043,108200849,chr1:108134043,chr1:108200849,66806
ENSG00000086189,5,62347284,62403939,chr5:62347284,chr5:62403939,56655
ENSG00000087152,17,44191805,44200113,chr17:44191805,chr17:44200113,8308
ENSG00000087157,17,78378649,78425114,chr17:78378649,chr17:78425114,46465
ENSG00000088035,1,63367575,63438553,chr1:63367575,chr1:63438553,70978
ENSG00000088448,13,110878540,110915069,chr13:110878540,chr13:110915069,36529
ENSG00000088451,13,94574054,94596242,chr13:94574054,chr13:94596242,22188
ENSG00000089060,12,113298759,113359493,chr12:113298759,chr12:113359493,60734
ENSG00000089159,12,120210439,120265771,chr12:120210439,chr12:120265771,55332
ENSG00000089818,12,8076939,8097881,chr12:8076939,chr12:8097881,20942
ENSG00000090006,19,40592883,40629818,chr19:40592883,chr19:40629818,36935
ENSG00000090316,4,1289887,1340147,chr4:1289887,chr4:1340147,50260
ENSG00000090376,12,66189195,66254622,chr12:66189195,chr12:66254622,65427
ENSG00000090581,16,1351931,1364113,chr16:1351931,chr16:1364113,12182
ENSG00000090975,12,122983480,123150015,chr12:122983480,chr12:123150015,166535
ENSG00000091009,5,146203605,146289223,chr5:146203605,chr5:146289223,85618
ENSG00000091536,17,18108706,18179802,chr17:18108706,chr17:18179802,71096
ENSG00000092439,15,50552473,50686797,chr15:50552473,chr15:50686797,134324
ENSG00000092978,1,217426992,217631090,chr1:217426992,chr1:217631090,204098
ENSG00000093167,3,37052626,37183689,chr3:37052626,chr3:37183689,131063
ENSG00000095209,9,105694541,105776629,chr9:105694541,chr9:105776629,82088
ENSG00000096060,6,35573585,35728583,chr6:35573585,chr6:35728583,154998
ENSG00000096063,6,35832966,35921342,chr6:35832966,chr6:35921342,88376
ENSG00000097046,1,91500851,91525764,chr1:91500851,chr1:91525764,24913
ENSG00000099194,10,100347233,100364826,chr10:100347233,chr10:100364826,17593
ENSG00000099377,16,30985207,30989147,chr16:30985207,chr16:30989147,3940
ENSG00000099622,19,1259384,1274880,chr19:1259384,chr19:1274880,15496
ENSG00000099889,22,19969896,20016823,chr22:19969896,chr22:20016823,46927
ENSG00000099956,22,23786931,23838008,chr22:23786931,chr22:23838008,51077
ENSG00000099958,22,23834503,23839128,chr22:23834503,chr22:23839128,4625
ENSG00000100239,22,50343304,50445090,chr22:50343304,chr22:50445090,101786
ENSG00000100280,22,29327680,29423179,chr22:29327680,chr22:29423179,95499
ENSG00000100307,22,39120167,39152680,chr22:39120167,chr22:39152680,32513
ENSG00000100321,22,39349925,39385575,chr22:39349925,chr22:39385575,35650
ENSG00000100365,22,36860988,36878017,chr22:36860988,chr22:36878017,17029
ENSG00000100433,14,88180103,88326907,chr14:88180103,chr14:88326907,146804
ENSG00000100504,14,50857891,50944483,chr14:50857891,chr14:50944483,86592
ENSG00000100564,14,67581955,67600286,chr14:67581955,chr14:67600286,18331
ENSG00000100599,14,92513781,92688994,chr14:92513781,chr14:92688994,175213
ENSG00000100722,14,88562970,88627596,chr14:88562970,chr14:88627596,64626
ENSG00000100802,14,22985894,23010166,chr14:22985894,chr14:23010166,24272
ENSG00000101150,20,63865228,63891545,chr20:63865228,chr20:63891545,26317
ENSG00000101194,20,62952707,62969585,chr20:62952707,chr20:62969585,16878
ENSG00000101447,20,38926312,38953106,chr20:38926312,chr20:38953106,26794
ENSG00000101474,20,24962925,24992751,chr20:24962925,chr20:24992751,29826
ENSG00000101544,18,80109262,80147523,chr18:80109262,chr18:80147523,38261
ENSG00000101846,X,7147237,7804358,chrX:7147237,chrX:7804358,657121
ENSG00000101935,X,110194186,110440233,chrX:110194186,chrX:110440233,246047
ENSG00000101974,X,139726346,139945276,chrX:139726346,chrX:139945276,218930
ENSG00000102001,X,49205063,49233371,chrX:49205063,chrX:49233371,28308
ENSG00000102174,X,22032325,22251310,chrX:22032325,chrX:22251310,218985
ENSG00000102245,X,136648158,136660390,chrX:136648158,chrX:136660390,12232
ENSG00000102543,13,49247925,49293485,chr13:49247925,chr13:49293485,45560
ENSG00000102780,13,42040036,42256578,chr13:42040036,chr13:42256578,216542
ENSG00000102796,13,51767993,51804162,chr13:51767993,chr13:51804162,36169
ENSG00000102858,16,4616493,4690974,chr16:4616493,chr16:4690974,74481
ENSG00000103160,16,84122141,84145192,chr16:84122141,chr16:84145192,23051
ENSG00000103187,16,84565596,84618078,chr16:84565596,chr16:84618078,52482
ENSG00000103404,16,23061406,23149270,chr16:23061406,chr16:23149270,87864
ENSG00000103485,16,29663279,29698699,chr16:29663279,chr16:29698699,35420
ENSG00000103490,16,31201486,31203450,chr16:31201486,chr16:31203450,1964
ENSG00000103494,16,53598153,53703938,chr16:53598153,chr16:53703938,105785
ENSG00000104047,15,49621037,49656232,chr15:49621037,chr15:49656232,35195
ENSG00000104112,15,51681492,51721026,chr15:51681492,chr15:51721026,39534
ENSG00000104177,15,48134632,48178353,chr15:48134632,chr15:48178353,43721
ENSG00000104327,8,90058608,90095475,chr8:90058608,chr8:90095475,36867
ENSG00000104432,8,78675743,78805523,chr8:78675743,chr8:78805523,129780
ENSG00000104497,8,81799581,81842866,chr8:81799581,chr8:81842866,43285
ENSG00000105176,19,29923644,30016612,chr19:29923644,chr19:30016612,92968
ENSG00000105245,19,40665905,40690972,chr19:40665905,chr19:40690972,25067
ENSG00000105426,19,5158495,5340803,chr19:5158495,chr19:5340803,182308
ENSG00000105711,19,35030470,35040449,chr19:35030470,chr19:35040449,9979
ENSG00000105784,7,87627548,87832296,chr7:87627548,chr7:87832296,204748
ENSG00000105793,7,90335223,90391455,chr7:90335223,chr7:90391455,56232
ENSG00000106089,7,73699206,73719672,chr7:73699206,chr7:73719672,20466
ENSG00000106245,7,99408641,99419616,chr7:99408641,chr7:99419616,10975
ENSG00000106290,7,100107070,100119841,chr7:100107070,chr7:100119841,12771
ENSG00000107362,9,71862452,71910931,chr9:71862452,chr9:71910931,48479
ENSG00000107560,10,118004916,118046941,chr10:118004916,chr10:118046941,42025
ENSG00000107779,10,86756601,86932838,chr10:86756601,chr10:86932838,176237
ENSG00000108556,17,4897771,4934438,chr17:4897771,chr17:4934438,36667
ENSG00000108559,17,5360963,5419676,chr17:5360963,chr17:5419676,58713
ENSG00000108639,17,78168558,78173527,chr17:78168558,chr17:78173527,4969
ENSG00000108848,17,50719565,50756219,chr17:50719565,chr17:50756219,36654
ENSG00000109016,17,21123364,21193265,chr17:21123364,chr17:21193265,69901
ENSG00000109452,4,142023160,142847432,chr4:142023160,chr4:142847432,824272
ENSG00000109606,4,24517441,24584554,chr4:24517441,chr4:24584554,67113
ENSG00000109689,4,26857601,27025381,chr4:26857601,chr4:27025381,167780
ENSG00000109762,4,185204237,185370185,chr4:185204237,chr4:185370185,165948
ENSG00000109771,4,185363879,185395899,chr4:185363879,chr4:185395899,32020
ENSG00000109906,11,114059711,114256765,chr11:114059711,chr11:114256765,197054
ENSG00000109911,11,31509755,31790324,chr11:31509755,chr11:31790324,280569
ENSG00000110080,11,126355640,126440344,chr11:126355640,chr11:126440344,84704
ENSG00000110200,11,72106378,72112780,chr11:72106378,chr11:72112780,6402
ENSG00000110400,11,119623408,119729200,chr11:119623408,chr11:119729200,105792
ENSG00000110429,11,33740939,33774543,chr11:33740939,chr11:33774543,33604
ENSG00000110876,12,108622277,108633959,chr12:108622277,chr12:108633959,11682
ENSG00000110934,12,51281038,51324668,chr12:51281038,chr12:51324668,43630
ENSG00000111057,12,52948871,52952906,chr12:52948871,chr12:52952906,4035
ENSG00000111261,12,12326056,12350242,chr12:12326056,chr12:12350242,24186
ENSG00000111530,12,67269358,67319953,chr12:67269358,chr12:67319953,50595
ENSG00000111596,12,70242994,70355257,chr12:70242994,chr12:70355257,112263
ENSG00000111605,12,69239569,69274358,chr12:69239569,chr12:69274358,34789
ENSG00000111652,12,6724014,6731875,chr12:6724014,chr12:6731875,7861
ENSG00000111684,12,6976185,7018477,chr12:6976185,chr12:7018477,42292
ENSG00000111711,12,21501781,21518408,chr12:21501781,chr12:21518408,16627
ENSG00000111727,12,104064531,104106524,chr12:104064531,chr12:104106524,41993
ENSG00000111728,12,22063773,22437041,chr12:22063773,chr12:22437041,373268
ENSG00000111775,12,120438090,120440737,chr12:120438090,chr12:120440737,2647
ENSG00000111785,12,106774621,106889316,chr12:106774621,chr12:106889316,114695
ENSG00000111860,6,118460772,118710075,chr6:118460772,chr6:118710075,249303
ENSG00000111962,6,148747030,149076990,chr6:148747030,chr6:149076990,329960
ENSG00000112031,6,152987362,153002709,chr6:152987362,chr6:153002709,15347
ENSG00000112053,6,35943516,36024868,chr6:35943516,chr6:36024868,81352
ENSG00000112200,6,57086844,57170305,chr6:57086844,chr6:57170305,83461
ENSG00000112679,6,291630,351355,chr6:291630,chr6:351355,59725
ENSG00000112739,6,4021267,4064983,chr6:4021267,chr6:4064983,43716
ENSG00000112782,6,45880827,46080348,chr6:45880827,chr6:46080348,199521
ENSG00000112893,5,109689366,109869625,chr5:109689366,chr5:109869625,180259
ENSG00000112983,5,138139766,138178986,chr5:138139766,chr5:138178986,39220
ENSG00000112996,5,44808947,44820428,chr5:44808947,chr5:44820428,11481
ENSG00000113319,5,80960363,81230162,chr5:80960363,chr5:81230162,269799
ENSG00000113368,5,126776623,126837020,chr5:126776623,chr5:126837020,60397
ENSG00000113648,5,135333900,135399914,chr5:135333900,chr5:135399914,66014
ENSG00000113649,5,146447311,146511961,chr5:146447311,chr5:146511961,64650
ENSG00000113719,5,172834251,172952683,chr5:172834251,chr5:172952683,118432
ENSG00000113749,5,175658030,175710756,chr5:175658030,chr5:175710756,52726
ENSG00000113851,3,3144628,3179727,chr3:3144628,chr3:3179727,35099
ENSG00000114062,15,25333728,25439051,chr15:25333728,chr15:25439051,105323
ENSG00000114120,3,140941830,140980995,chr3:140941830,chr3:140980995,39165
ENSG00000114354,3,100709331,100748964,chr3:100709331,chr3:100748964,39633
ENSG00000114416,3,180868141,180982753,chr3:180868141,chr3:180982753,114612
ENSG00000114439,3,107522936,107811339,chr3:107522936,chr3:107811339,288403
ENSG00000114529,3,112086335,112131004,chr3:112086335,chr3:112131004,44669
ENSG00000115129,2,24077433,24085861,chr2:24077433,chr2:24085861,8428
ENSG00000115138,2,25160853,25168903,chr2:25160853,chr2:25168903,8050
ENSG00000115295,2,29097705,29189643,chr2:29097705,chr2:29189643,91938
ENSG00000115365,2,210431249,210477652,chr2:210431249,chr2:210477652,46403
ENSG00000115368,2,189441446,189475552,chr2:189441446,chr2:189475552,34106
ENSG00000115419,2,190880821,190965552,chr2:190880821,chr2:190965552,84731
ENSG00000115641,2,105357712,105438513,chr2:105357712,chr2:105438513,80801
ENSG00000115942,2,200908977,200963680,chr2:200908977,chr2:200963680,54703
ENSG00000115947,2,147930397,148021604,chr2:147930397,chr2:148021604,91207
ENSG00000115970,2,43230836,43596046,chr2:43230836,chr2:43596046,365210
ENSG00000116001,2,70209444,70248660,chr2:70209444,chr2:70248660,39216
ENSG00000116560,1,35176378,35193145,chr1:35176378,chr1:35193145,16767
ENSG00000116574,1,228735479,228746664,chr1:228735479,chr1:228746664,11185
ENSG00000116747,1,193059422,193091777,chr1:193059422,chr1:193091777,32355
ENSG00000116922,1,37681570,37692249,chr1:37681570,chr1:37692249,10679
ENSG00000116962,1,235975830,236065109,chr1:235975830,chr1:236065109,89279
ENSG00000116983,1,39678648,39691485,chr1:39678648,chr1:39691485,12837
ENSG00000116991,1,232397965,232561558,chr1:232397965,chr1:232561558,163593
ENSG00000117090,1,160608106,160647295,chr1:160608106,chr1:160647295,39189
ENSG00000117226,1,89006679,89022894,chr1:89006679,chr1:89022894,16215
ENSG00000117262,1,145607988,145670650,chr1:145607988,chr1:145670650,62662
ENSG00000117475,1,169367970,169396540,chr1:169367970,chr1:169396540,28570
ENSG00000117533,1,171700160,171742074,chr1:171700160,chr1:171742074,41914
ENSG00000117569,1,96721665,96823738,chr1:96721665,chr1:96823738,102073
ENSG00000117597,1,209827972,209857565,chr1:209827972,chr1:209857565,29593
ENSG00000118246,2,206765357,206796189,chr2:206765357,chr2:206796189,30832
ENSG00000118298,1,150257251,150265078,chr1:150257251,chr1:150265078,7827
ENSG00000118412,6,89829894,89874436,chr6:89829894,chr6:89874436,44542
ENSG00000118620,19,21020634,21060050,chr19:21020634,chr19:21060050,39416
ENSG00000118873,1,220148293,220272453,chr1:220148293,chr1:220272453,124160
ENSG00000119457,9,112878920,112890876,chr9:112878920,chr9:112890876,11956
ENSG00000119487,9,125437393,125707234,chr9:125437393,chr9:125707234,269841
ENSG00000119514,9,98807670,98850081,chr9:98807670,chr9:98850081,42411
ENSG00000119685,14,75633625,75955079,chr14:75633625,chr14:75955079,321454
ENSG00000119812,2,33583660,33599382,chr2:33583660,chr2:33599382,15722
ENSG00000119899,6,73593379,73653992,chr6:73593379,chr6:73653992,60613
ENSG00000119927,10,112149865,112215377,chr10:112149865,chr10:112215377,65512
ENSG00000119965,10,122930901,122954311,chr10:122930901,chr10:122954311,23410
ENSG00000119979,10,119104086,119137984,chr10:119104086,chr10:119137984,33898
ENSG00000120129,5,172768096,172771195,chr5:172768096,chr5:172771195,3099
ENSG00000120279,6,152697895,152724567,chr6:152697895,chr6:152724567,26672
ENSG00000120333,1,175010789,175023425,chr1:175010789,chr1:175023425,12636
ENSG00000120458,11,124766498,124800673,chr11:124766498,chr11:124800673,34175
ENSG00000120694,13,31134973,31162388,chr13:31134973,chr13:31162388,27415
ENSG00000120725,5,138946724,139293557,chr5:138946724,chr5:139293557,346833
ENSG00000120738,5,138465479,138469303,chr5:138465479,chr5:138469303,3824
ENSG00000120802,12,98515512,98550379,chr12:98515512,chr12:98550379,34867
ENSG00000120903,8,27459756,27479883,chr8:27459756,chr8:27479883,20127
ENSG00000121039,8,73294602,73325281,chr8:73294602,chr8:73325281,30679
ENSG00000121316,12,14503661,14567883,chr12:14503661,chr12:14567883,64222
ENSG00000121350,12,21437615,21471250,chr12:21437615,chr12:21471250,33635
ENSG00000121542,3,123201927,123274136,chr3:123201927,chr3:123274136,72209
ENSG00000121716,7,100352176,100367733,chr7:100352176,chr7:100367733,15557
ENSG00000121892,4,39822863,39977956,chr4:39822863,chr4:39977956,155093
ENSG00000121903,1,33472645,33496507,chr1:33472645,chr1:33496507,23862
ENSG00000121931,1,110947190,110963965,chr1:110947190,chr1:110963965,16775
ENSG00000121966,2,136114349,136118149,chr2:136114349,chr2:136118149,3800
ENSG00000122008,5,75511756,75601144,chr5:75511756,chr5:75601144,89388
ENSG00000122417,1,86346824,86396342,chr1:86346824,chr1:86396342,49518
ENSG00000122435,1,100133150,100150498,chr1:100133150,chr1:100150498,17348
ENSG00000122482,1,90915298,91022272,chr1:90915298,chr1:91022272,106974
ENSG00000122507,7,33109557,33877180,chr7:33109557,chr7:33877180,767623
ENSG00000122642,7,32957404,33006930,chr7:32957404,chr7:33006930,49526
ENSG00000122779,7,138460259,138589996,chr7:138460259,chr7:138589996,129737
ENSG00000122783,7,135092363,135170795,chr7:135092363,chr7:135170795,78432
ENSG00000122912,10,68477998,68527523,chr10:68477998,chr10:68527523,49525
ENSG00000123095,12,26120030,26125037,chr12:26120030,chr12:26125037,5007
ENSG00000123352,12,49366584,49527424,chr12:49366584,chr12:49527424,160840
ENSG00000123575,X,104166453,104195902,chrX:104166453,chrX:104195902,29449
ENSG00000123643,5,151437046,151492379,chr5:151437046,chr5:151492379,55333
ENSG00000123836,1,207034366,207081024,chr1:207034366,chr1:207081024,46658
ENSG00000123989,2,219538948,219543809,chr2:219538948,chr2:219543809,4861
ENSG00000124145,20,45325288,45348424,chr20:45325288,chr20:45348424,23136
ENSG00000124171,20,50731580,50756795,chr20:50731580,chr20:50756795,25215
ENSG00000124207,20,49046246,49096960,chr20:49046246,chr20:49096960,50714
ENSG00000124215,20,59958423,60034011,chr20:59958423,chr20:60034011,75588
ENSG00000124507,6,34466061,34535229,chr6:34466061,chr6:34535229,69168
ENSG00000124882,4,74365145,74388749,chr4:74365145,chr4:74388749,23604
ENSG00000125434,17,8287763,8295400,chr17:8287763,chr17:8295400,7637
ENSG00000125447,17,75236599,75262363,chr17:75236599,chr17:75262363,25764
ENSG00000125498,19,54769793,54784322,chr19:54769793,chr19:54784322,14529
ENSG00000125676,X,123600561,123733056,chrX:123600561,chrX:123733056,132495
ENSG00000125944,1,23303771,23344336,chr1:23303771,chr1:23344336,40565
ENSG00000126773,14,60091911,60169133,chr14:60091911,chr14:60169133,77222
ENSG00000126947,X,101550547,101554700,chrX:101550547,chrX:101554700,4153
ENSG00000127081,9,92844182,92878038,chr9:92844182,chr9:92878038,33856
ENSG00000127084,9,92947523,93036236,chr9:92947523,chr9:93036236,88713
ENSG00000127311,12,66302545,66347645,chr12:66302545,chr12:66347645,45100
ENSG00000127329,12,70515866,70637440,chr12:70515866,chr12:70637440,121574
ENSG00000127334,12,67648338,67665406,chr12:67648338,chr12:67665406,17068
ENSG00000127507,19,14732392,14778560,chr19:14732392,chr19:14778560,46168
ENSG00000127527,19,16355239,16472085,chr19:16355239,chr19:16472085,116846
ENSG00000127948,7,75899200,75986855,chr7:75899200,chr7:75986855,87655
ENSG00000127980,7,92487020,92528520,chr7:92487020,chr7:92528520,41500
ENSG00000127989,7,91692008,91880702,chr7:91692008,chr7:91880702,188694
ENSG00000127990,7,94524204,94656572,chr7:94524204,chr7:94656572,132368
ENSG00000128000,19,40028260,40056231,chr19:40028260,chr19:40056231,27971
ENSG00000128016,19,39406847,39409412,chr19:39406847,chr19:39409412,2565
ENSG00000128606,7,102913000,102945111,chr7:102913000,chr7:102945111,32111
ENSG00000128641,2,191245185,191425389,chr2:191245185,chr2:191425389,180204
ENSG00000128656,2,174799313,175005381,chr2:174799313,chr2:175005381,206068
ENSG00000128872,15,51751597,51816363,chr15:51751597,chr15:51816363,64766
ENSG00000129003,15,61852389,62060473,chr15:61852389,chr15:62060473,208084
ENSG00000129116,4,168497052,168928457,chr4:168497052,chr4:168928457,431405
ENSG00000129204,17,5116032,5175034,chr17:5116032,chr17:5175034,59002
ENSG00000129465,14,24336025,24340022,chr14:24336025,chr14:24340022,3997
ENSG00000129810,3,20160593,20186206,chr3:20160593,chr3:20186206,25613
ENSG00000129933,19,19320829,19358754,chr19:19320829,chr19:19358754,37925
ENSG00000130021,X,6667865,7148190,chrX:6667865,chrX:7148190,480325
ENSG00000130024,6,169703902,169725566,chr6:169703902,chr6:169725566,21664
ENSG00000130164,19,11089462,11133820,chr19:11089462,chr19:11133820,44358
ENSG00000130311,19,17309518,17323298,chr19:17309518,chr19:17323298,13780
ENSG00000130755,19,39328353,39342372,chr19:39328353,chr19:39342372,14019
ENSG00000130775,1,27872543,27886685,chr1:27872543,chr1:27886685,14142
ENSG00000131042,19,54273821,54281184,chr19:54273821,chr19:54281184,7363
ENSG00000131069,20,34872146,34927962,chr20:34872146,chr20:34927962,55816
ENSG00000131375,3,15206152,15252916,chr3:15206152,chr3:15252916,46764
